103 A 4 0 -1 2 1 -2
103 A -2 1 -11 -1 11 1
103 A 1 1 12 -1 -12 1
103 A -3 1 -12 -1 12 1
103 A 2 1 -13 1 13 -1
103 A 7 0 5 -3 -5 3
103 A -6 1 -9 -1 9 1
103 A -6 1 -7 -1 7 1
103 A 5 1 8 -1 -8 1
103 A 5 1 10 -1 -10 1
103 A 8 0 -1 2 1 -2
103 A 8 0 1 2 -1 -2
103 A 8 0 3 -2 -3 2
103 A 8 0 3 2 -3 -2
103 A 5 0 0 -2 -2 2
103 A 5 0 0 -1 1 -1
103 A 5 0 1 1 1 2
103 A 5 0 2 1 1 -2
103 A 5 0 3 -2 2 -1
103 A -1 1 -7 0 -11 0
103 A 0 1 -7 0 -11 0
103 A -3 1 -6 -1 -4 -1
103 A 2 1 -7 1 -5 1
103 A -4 1 -7 -1 3 1
103 A -4 1 -5 -1 9 2
103 A 3 1 -11 2 6 -1
103 A 3 1 -4 1 8 -1
103 A -5 1 6 1 -11 -2
103 A 4 1 -13 2 7 -1
103 A 7 0 -1 3 -2 3
103 S -2 1 4 0
103 S 1 1 4 0
103 T 40 42 40 0 0
103 T 85 72 0 0 0
103 T 85 60 47 0 0
103 T 49 58 74 0 0
103 T 3 60 36 0 0
103 T 38 49 45 0 0
103 T 36 57 3 0 0
103 T 53 48 38 1 0
103 T 5 19 26 0 0
103 T 81 56 12 0 0
103 T 94 59 16 0 0
103 T 9 61 77 0 0
103 T 87 39 91 0 0
103 T 76 41 79 0 0
103 T 81 30 57 0 0
103 T 60 31 77 0 0
103 T 55 27 89 0 0
103 T 94 27 62 0 0
103 T 43 82 18 0 0
103 T 17 77 52 0 0
103 T 43 21 79 0 0
103 T 75 24 51 0 0
103 T 89 95 93 0 0
103 U 12 1 1 0 0
103 U 14 1 1 0 -1
103 U 7 1 1 0 0
103 U 16 2 2 0 0
103 U 9 2 2 -1 1
103 U 7 2 2 -1 1
103 U 32 3 4 0 0
103 U 23 4 3 0 0
103 U 64 4 4 0 0
103 U 34 4 3 -1 0
103 U 26 3 4 0 0
103 U 29 5 6 0 0
103 U 69 5 5 0 0
103 U 22 6 5 0 0
103 U 20 6 5 0 0
103 U 33 5 6 0 0
