111 A 4 0 -1 2 1 -2
111 A 5 0 2 1 -2 -1
111 A -1 1 -13 0 13 0
111 A 0 1 13 0 -13 0
111 A -2 1 9 1 -9 -1
111 A 1 1 -10 1 10 -1
111 A -4 1 5 1 -5 -1
111 A -4 1 7 1 -7 -1
111 A -4 1 11 2 -11 -2
111 A 3 1 -13 2 13 -2
111 A 3 1 -8 1 8 -1
111 A 3 1 -6 1 6 -1
111 A 8 0 -3 2 3 -2
111 A 8 0 1 2 -1 -2
111 A 8 0 1 -2 -1 2
111 A 8 0 5 -2 -5 2
111 A 10 0 3 4 -3 -4
111 A -1 2 17 1 -17 -1
111 A 5 0 1 -2 1 -2
111 A 5 0 0 -2 1 -1
111 A 5 0 0 -1 2 -2
111 A -2 1 -7 0 11 1
111 A 1 1 -12 1 7 0
111 A -3 1 -12 -1 -6 -1
111 A 2 1 -13 1 -7 1
111 A -4 1 -13 -1 -3 -1
111 A 3 1 -4 1 -14 1
111 A -5 1 6 1 8 1
111 A 4 1 -7 1 -9 1
111 A 7 0 2 2 -4 2
111 A -6 1 -9 -1 -9 -3
111 A 5 1 -12 3 -10 1
111 A -7 1 6 1 -6 -3
111 A 6 1 7 -1 -9 3
111 A 9 0 2 4 -6 4
111 S 0 1 4 0
111 S -1 1 4 0
111 S 1 1 5 0
111 S -3 2 5 0
111 S -2 1 5 0
111 S 1 2 5 0
111 T 44 42 48 0 0
111 T 98 102 0 1 0
111 T 1 3 1 0 0
111 T 3 81 78 0 0
111 T 61 93 5 0 0
111 T 93 58 23 0 0
111 T 66 52 11 0 0
111 T 22 54 90 0 0
111 T 87 83 91 0 0
111 T 57 30 59 0 0
111 T 66 32 53 0 0
111 T 93 36 55 0 0
111 T 51 36 90 1 0
111 T 90 106 94 0 0
111 T 83 85 83 1 0
111 U 9 1 1 0 0
111 U 6 1 1 0 -1
111 U 24 1 1 0 -1
111 U 11 2 2 0 0
111 U 22 2 2 -1 1
111 U 5 2 2 -1 1
111 U 1 3 3 0 0
111 U 16 4 3 0 0
111 U 14 3 4 -1 0
111 U 39 4 3 1 0
111 U 34 5 6 0 0
111 U 26 6 5 0 0
111 U 75 6 6 0 0
111 U 32 6 5 0 0
111 U 27 5 6 0 0
111 U 34 7 8 0 0
111 U 81 7 7 0 0
111 U 19 8 7 0 0
111 U 17 8 7 0 0
111 U 29 7 8 0 0
111 U 96 9 12 0 0
111 U 50 11 9 0 0
111 U 13 12 11 0 0
111 U 28 10 9 0 0
111 U 54 11 10 0 0
111 U 8 10 9 0 0
111 U 74 12 10 0 0
111 U 37 11 12 1 0
111 U 69 13 15 0 0
111 U 8 14 13 -1 0
111 U 55 15 14 0 0
111 U 17 14 13 0 0
111 U 43 16 14 0 0
111 U 102 16 13 0 0
111 U 15 15 16 0 0
111 U 38 16 15 0 0
111 Q 39 84 40 83 -1 0 -1 0 0 0
