115 A -3 1 -6 0 6 0
115 A 2 1 -6 0 6 0
115 A -1 2 24 0 -24 0
115 A 4 0 -2 1 -1 -1
115 A 4 0 -1 1 0 1
115 A 5 0 -1 -2 -3 2
115 A 5 0 0 1 1 -1
115 A 5 0 0 2 -2 2
115 A 5 0 1 1 -2 1
115 A -3 1 -5 -1 -10 -1
115 A 2 1 -6 1 -11 1
115 A -4 1 -8 -1 -13 -1
115 A 3 1 -9 1 -14 1
115 S 2 1 5 0
115 S -1 2 5 0
115 T 28 36 27 0 0
115 T 1 2 1 0 0
115 T 1 49 53 0 0
115 T 51 19 49 0 0
115 T 26 23 31 1 0
115 T 47 3 24 0 0
115 T 23 4 53 0 0
115 T 3 6 8 0 0
115 T 4 17 41 0 0
115 T 43 18 3 0 0
115 T 16 17 21 1 0
115 U 43 1 3 0 0
115 U 41 3 1 0 0
115 U 31 3 3 0 0
115 U 35 1 1 0 0
115 U 12 2 1 1 0
115 U 9 1 2 0 0
115 U 13 4 3 0 0
115 Q 0 12 0 9 0 0 0 0 0 0
115 Q 0 29 22 30 0 0 0 0 0 0
115 Q 2 13 2 14 0 -1 0 0 0 0
