119 A 4 0 1 2 -1 -2
119 A 5 0 1 -2 -1 2
119 A -1 1 11 0 -11 0
119 A 0 1 -11 0 11 0
119 A -2 1 13 1 -13 -1
119 A 1 1 -14 1 14 -1
119 A 6 0 -1 2 1 -2
119 A -3 1 -14 -1 14 1
119 A 2 1 -15 1 15 -1
119 A -4 1 -9 -1 9 1
119 A 3 1 -10 1 10 -1
119 A -6 1 -5 -1 5 1
119 A 5 1 6 -1 -6 1
119 A 8 0 3 2 -3 -2
119 A 8 0 -1 -2 1 2
119 A 8 0 -3 2 3 -2
119 A 8 0 1 -2 -1 2
119 A -7 1 3 2 -3 -2
119 A -7 1 5 2 -5 -2
119 A 6 1 -7 2 7 -2
119 A 6 1 -5 2 5 -2
119 A 9 0 -2 4 2 -4
119 A 10 0 1 -2 -1 2
119 A -1 2 9 1 -9 -1
119 A -20 2 1 4 -1 -4
119 A 18 2 5 -4 -5 4
119 A 5 0 2 1 2 1
119 A 5 0 1 1 -1 -2
119 A 5 0 -3 2 2 -1
119 A -1 1 -13 0 7 0
119 A 0 1 -7 0 13 0
119 A -2 1 -7 0 -9 0
119 A 1 1 7 0 9 0
119 A -3 1 -8 -1 -10 -1
119 A 2 1 -11 1 -9 1
119 A -4 1 -7 -1 -11 -2
119 A 3 1 -13 2 -8 1
119 A 7 0 0 2 -2 2
119 A 7 0 1 2 1 -3
119 A 7 0 1 3 -4 3
119 A 7 0 -2 3 3 -2
119 A -5 1 6 1 4 1
119 A -5 1 -8 -1 -13 -2
119 A -5 1 9 2 11 2
119 A 4 1 5 -1 7 -1
119 A 4 1 9 -1 15 -2
119 A 4 1 11 -2 13 -2
119 A -8 1 7 1 -7 -2
119 A 7 1 8 -1 -9 2
119 A -14 1 -7 -4 -9 -2
119 A 13 1 11 -2 11 -4
119 S -2 1 4 0
119 S 1 1 4 0
119 S 0 1 5 0
119 S 0 2 5 0
119 S -1 1 5 0
119 S -2 2 5 0
119 S -6 0 -3 1
119 S 3 -1 6 0
119 T 128 114 0 0 0
119 T 0 142 138 0 0
119 T 140 146 54 0 0
119 T 51 149 142 0 0
119 T 149 56 146 1 0
119 T 59 94 138 0 0
119 T 144 90 64 0 0
119 T 108 92 94 0 0
119 T 83 6 112 0 0
119 T 58 56 61 0 0
119 T 95 68 13 0 0
119 T 18 66 119 0 0
119 T 129 70 20 0 0
119 T 89 99 93 0 0
119 T 112 99 103 0 0
119 T 95 36 65 0 0
119 T 69 36 92 0 0
119 T 22 98 23 0 0
119 T 129 34 71 0 0
119 T 22 140 145 0 0
119 T 150 142 23 0 0
119 T 37 56 43 1 0
119 T 119 104 41 0 0
119 T 40 112 129 0 0
119 T 119 45 101 0 0
119 T 109 45 129 0 0
119 U 14 1 1 0 -1
119 U 17 1 1 0 0
119 U 3 1 1 0 0
119 U 12 2 2 -1 1
119 U 4 2 2 -1 0
119 U 20 2 2 0 0
119 U 1 3 4 0 0
119 U 85 3 3 0 0
119 U 7 4 3 0 0
119 U 22 4 3 0 0
119 U 15 3 4 0 0
119 U 1 5 6 1 0
119 U 10 6 5 0 0
119 U 82 6 6 0 0
119 U 16 6 5 0 0
119 U 23 5 6 0 0
119 U 38 7 8 0 0
119 U 30 8 7 -1 0
119 U 77 8 8 0 0
119 U 39 8 7 0 0
119 U 33 7 8 0 0
119 U 41 9 10 0 0
119 U 73 9 9 0 0
119 U 31 10 9 0 0
119 U 30 10 9 0 0
119 U 43 9 10 0 0
119 U 57 11 14 0 0
119 U 128 11 11 0 0
119 U 66 14 11 0 0
119 U 26 12 11 0 0
119 U 48 11 12 0 0
119 U 135 14 14 0 0
119 U 7 14 13 0 0
119 U 6 13 14 0 0
119 U 69 15 18 0 0
119 U 116 15 15 0 0
119 U 62 18 15 0 0
119 U 47 16 15 0 0
119 U 28 15 16 0 0
119 U 121 18 18 0 0
119 U 5 18 17 0 0
119 U 9 17 18 0 0
119 U 0 19 22 0 0
119 U 53 20 19 0 0
119 U 52 22 21 0 0
119 U 56 21 20 -1 0
119 U 49 21 19 0 0
