127 A 4 0 1 2 -1 -2
127 A -1 1 -15 0 15 0
127 A 0 1 -15 0 15 0
127 A -4 1 13 2 -13 -2
127 A 3 1 15 -2 -15 2
127 A 8 0 1 2 -1 -2
127 A 8 0 -1 2 1 -2
127 A 8 0 3 2 -3 -2
127 A 8 0 3 -2 -3 2
127 A -8 1 -5 -2 5 2
127 A -8 1 -7 -2 7 2
127 A 7 1 7 -2 -7 2
127 A 7 1 9 -2 -9 2
127 A 11 0 3 5 -3 -5
127 A 7 0 -1 2 -1 2
127 A 5 0 -1 -1 -2 1
127 A 5 0 0 1 2 -2
127 A 5 0 0 2 1 -1
127 A 5 0 1 2 -3 2
127 A 5 0 2 1 -1 2
127 A -1 1 -9 0 -7 0
127 A 0 1 -7 0 -9 0
127 A -2 1 -13 -1 -9 0
127 A 1 1 14 -1 9 0
127 A -3 1 -7 0 8 1
127 A -3 1 -14 -1 6 1
127 A 2 1 -7 1 15 -1
127 A 2 1 -9 1 7 0
127 A -4 1 3 1 -11 -2
127 A 3 1 -13 2 4 -1
127 A 7 0 -2 3 1 -3
127 A 7 0 0 3 -3 3
127 A -5 1 -4 -1 -13 -2
127 A 4 1 5 -1 15 -2
127 A -6 1 -9 -1 11 3
127 A -6 1 5 1 -5 -2
127 A 5 1 -14 3 10 -1
127 A 5 1 -7 2 6 -1
127 A 9 0 2 4 -3 2
127 A 9 0 -1 -2 6 -4
127 A -8 1 -17 -3 -7 -1
127 A 7 1 -8 1 -20 3
127 S 0 1 4 0
127 S -1 1 4 0
127 T 94 50 90 0 0
127 T 50 52 50 -1 0
127 T 0 118 128 0 0
127 T 126 68 41 0 0
127 T 46 69 118 0 0
127 T 0 141 139 0 0
127 T 120 6 128 1 0
127 T 6 75 86 -1 0
127 T 3 43 57 0 0
127 T 50 46 43 0 0
127 T 61 48 4 0 0
127 T 53 38 45 0 0
127 T 41 38 56 0 0
127 T 65 91 85 0 0
127 T 74 95 72 0 0
127 T 123 71 16 0 0
127 T 10 69 77 0 0
127 T 113 81 8 0 0
127 T 81 67 12 0 0
127 T 139 38 121 0 0
127 T 79 40 112 0 0
127 T 113 38 144 0 0
127 T 106 40 83 0 0
127 T 72 21 77 -1 0
127 T 81 21 66 0 0
127 T 115 135 30 0 0
127 T 60 133 68 0 0
127 T 25 131 123 0 0
127 T 70 129 63 0 0
127 T 28 36 32 0 0
127 T 77 101 82 0 0
127 T 115 34 134 1 0
127 T 130 34 123 0 0
127 T 95 37 129 0 0
127 T 133 37 92 0 0
127 T 100 77 56 0 0
127 T 53 81 100 0 0
127 U 10 1 1 0 -1
127 U 8 1 1 0 -1
127 U 16 1 1 0 0
127 U 11 2 2 -1 1
127 U 13 2 2 0 0
127 U 7 2 2 0 1
127 U 32 3 4 0 0
127 U 59 3 3 0 0
127 U 20 4 3 0 0
127 U 18 4 3 0 0
127 U 30 3 4 0 0
127 U 63 5 5 0 0
127 U 28 6 5 0 0
127 U 19 5 6 0 0
127 U 26 6 5 0 0
127 U 24 5 6 0 0
