131 A 5 0 2 1 -2 -1
131 A -1 1 -10 0 10 0
131 A 0 1 -10 0 10 0
131 A -2 1 -6 0 6 0
131 A 1 1 -6 0 6 0
131 A 6 0 1 -2 -1 2
131 A -3 1 11 1 -11 -1
131 A 2 1 -12 1 12 -1
131 A -4 1 -15 -1 15 1
131 A 3 1 16 -1 -16 1
131 A 10 0 7 -4 -7 4
131 A 5 0 -1 2 -1 2
131 A 4 0 0 1 -1 1
131 A 4 0 1 1 2 -1
131 A 5 0 0 -2 1 -1
131 A 5 0 0 1 -2 2
131 A -2 1 -8 0 -11 -1
131 A 1 1 -12 1 -8 0
131 A -3 1 -7 0 -8 -1
131 A 2 1 9 -1 7 0
131 A -4 1 -9 -1 3 1
131 A -4 1 -10 -1 -12 -1
131 A -4 1 -13 -1 4 1
131 A 3 1 14 -1 -5 1
131 A 3 1 -4 1 10 -1
131 A 3 1 -11 1 -13 1
131 A -6 1 -11 -2 5 1
131 A 5 1 6 -1 -13 2
131 A 8 0 0 3 -3 3
131 A -7 1 -8 -3 -10 -3
131 A 6 1 13 -3 11 -3
131 S 1 1 5 0
131 S -3 2 5 0
131 S -2 1 5 0
131 S 1 2 5 0
131 T 79 32 64 0 0
131 T 32 30 32 0 0
131 T 0 88 90 0 0
131 T 92 17 41 0 0
131 T 38 19 88 0 0
131 T 17 20 95 0 0
131 T 86 28 90 0 0
131 T 1 2 1 0 0
131 T 104 97 1 1 0
131 T 40 41 27 0 0
131 T 60 64 7 0 0
131 T 9 80 56 0 0
131 T 4 48 36 -1 0
131 T 35 52 3 0 0
131 T 35 6 58 1 0
131 T 54 6 35 0 0
131 T 54 59 32 -1 0
131 U 67 1 1 0 0
131 U 4 2 1 0 0
131 U 7 1 2 0 0
131 U 15 2 1 0 0
131 U 19 1 2 0 0
131 U 3 3 4 1 0
131 U 81 3 3 0 0
131 U 10 4 3 0 0
131 U 17 4 3 0 0
131 U 16 3 4 0 0
131 U 45 5 7 0 0
131 U 6 6 5 0 0
131 U 74 7 6 0 0
131 U 12 6 5 0 0
131 U 44 8 6 0 0
131 U 99 7 7 0 0
131 U 25 8 7 0 0
131 U 24 7 8 0 0
131 U 40 9 11 0 0
131 U 14 10 9 0 0
131 U 69 11 10 0 0
131 U 6 10 9 -1 0
131 U 50 12 10 0 0
131 U 104 11 11 0 0
131 U 22 12 11 0 0
131 U 26 11 12 -1 0
131 Q 12 0 13 0 0 0 0 0 0 0
