139 A 5 0 1 -2 -1 2
139 A -1 1 6 0 -6 0
139 A 0 1 6 0 -6 0
139 A 7 0 1 -2 -1 2
139 A -5 1 11 2 -11 -2
139 A 4 1 13 -2 -13 2
139 A 10 0 -1 2 1 -2
139 A 5 0 2 1 2 1
139 A 4 0 -2 1 1 1
139 A 4 0 0 1 1 -1
139 A 5 0 1 2 -1 -1
139 A 5 0 2 -1 -3 2
139 A -1 1 8 0 13 0
139 A 0 1 8 0 13 0
139 A 6 0 2 1 3 -1
139 A 6 0 1 1 -2 1
139 A -3 1 -9 -1 -14 -1
139 A 2 1 -10 1 -15 1
139 A -4 1 -16 -1 -3 -1
139 A -4 1 -14 -1 -9 -1
139 A 3 1 -10 1 -15 1
139 A 3 1 -4 1 -17 1
139 A -5 1 13 2 -7 -1
139 A 4 1 -15 2 8 -1
139 A -6 1 15 2 6 1
139 A 5 1 7 -1 17 -2
139 S 0 1 5 0
139 S 0 2 5 0
139 S -1 1 5 0
139 S -2 2 5 0
139 T 0 67 77 0 0
139 T 79 2 67 0 0
139 T 2 1 2 -1 0
139 T 13 56 12 0 0
139 T 55 52 49 0 0
139 T 51 37 77 0 0
139 T 65 33 52 0 0
139 T 24 35 37 0 0
139 T 2 82 85 0 0
139 T 25 32 29 0 0
139 T 4 62 10 0 0
139 T 9 60 3 0 0
139 T 5 76 16 0 0
139 T 15 72 6 0 0
139 T 72 74 8 0 0
139 T 5 17 73 0 0
139 T 70 19 5 0 0
139 T 70 34 31 0 0
139 T 31 37 73 0 0
139 T 27 25 27 1 0
139 U 42 1 3 0 0
139 U 34 4 1 0 0
139 U 20 3 4 0 0
139 U 11 2 1 0 0
139 U 89 4 2 0 0
139 U 22 2 1 0 0
139 U 85 3 2 0 0
139 U 9 4 3 0 0
139 U 46 5 7 0 0
139 U 81 8 5 0 0
139 U 10 7 8 0 0
139 U 22 6 5 0 0
139 U 95 8 6 0 0
139 U 13 6 5 0 0
139 U 39 7 6 0 0
139 U 17 8 7 0 0
139 Q 0 11 0 14 0 0 0 0 0 0
