143 A 4 0 1 2 -1 -2
143 A 6 0 1 -2 -1 2
143 A -1 1 17 0 -17 0
143 A 0 1 -17 0 17 0
143 A -3 1 -10 -1 10 1
143 A 2 1 -11 1 11 -1
143 A -4 1 -3 -1 3 1
143 A -4 1 15 2 -15 -2
143 A 3 1 4 -1 -4 1
143 A 3 1 -17 2 17 -2
143 A -5 1 -10 -1 10 1
143 A -5 1 -8 -1 8 1
143 A 4 1 9 -1 -9 1
143 A 4 1 -11 1 11 -1
143 A 8 0 -1 -2 1 2
143 A 8 0 5 -2 -5 2
143 A 8 0 -3 2 3 -2
143 A 8 0 1 -2 -1 2
143 A -6 1 -11 -2 11 2
143 A 5 1 -13 2 13 -2
143 A -1 2 12 0 -12 0
143 A 12 0 5 2 -5 -2
143 A -8 2 9 2 -9 -2
143 A 6 2 11 -2 -11 2
143 A -16 1 -1 3 1 -3
143 A 15 1 -2 3 2 -3
143 A 24 0 -1 -4 1 4
143 A 24 0 -5 4 5 -4
143 A 5 0 0 -2 -2 2
143 A 5 0 0 1 -1 1
143 A 5 0 1 1 1 2
143 A 5 0 2 1 1 -2
143 A 5 0 3 -2 2 -1
143 A -1 1 13 0 11 0
143 A 0 1 -11 0 -13 0
143 A -2 1 -11 0 7 0
143 A -2 1 -9 0 15 1
143 A 1 1 -16 1 9 0
143 A 1 1 -7 0 11 0
143 A -3 1 -16 -1 -8 -1
143 A 2 1 -9 1 -17 1
143 A -4 1 7 1 9 1
143 A 3 1 8 -1 10 -1
143 A 7 0 4 -3 1 3
143 A 7 0 -1 2 2 3
143 A 7 0 0 2 3 -3
143 A 7 0 0 3 2 -2
143 A -5 1 -15 -2 4 1
143 A -5 1 -12 -1 -13 -2
143 A 4 1 -15 2 -13 1
143 A 4 1 -5 1 17 -2
143 A -6 1 17 2 13 2
143 A -6 1 -11 -1 -13 -3
143 A 5 1 19 -2 15 -2
143 A 5 1 -12 1 -16 3
143 A -8 1 -11 -2 -9 -1
143 A -8 1 -7 -1 11 4
143 A 7 1 15 -4 -8 1
143 A 7 1 -10 1 -13 2
143 A -9 1 10 1 8 1
143 A 8 1 11 -1 9 -1
143 A 11 0 -3 4 -1 4
143 A 11 0 -2 -5 7 -5
143 A 11 0 -6 2 5 -3
143 A 11 0 -2 -3 4 2
143 A -3 2 -19 -1 -11 -1
143 A 1 2 12 -1 20 -1
143 A -9 2 -13 -1 25 3
143 A 7 2 14 -1 -28 3
143 A -15 2 -13 -2 -23 -5
143 A 13 2 -28 5 -15 2
143 S 0 1 4 0
143 S -1 1 4 0
143 S -6 0 -1 1
143 S 1 -1 6 0
143 S 2 1 6 0
143 S -3 1 6 0
143 T 0 15 20 0 0
143 T 0 190 186 0 0
143 T 55 216 223 0 0
143 T 225 227 0 0 0
143 T 227 221 57 0 0
143 T 66 219 216 0 0
143 T 0 177 171 0 0
143 T 149 136 0 0 0
143 T 173 4 147 1 0
143 T 136 3 177 0 -1
143 T 149 73 186 0 0
143 T 188 71 138 -1 0
143 T 217 161 171 0 0
143 T 175 151 220 0 0
143 T 161 192 151 0 0
143 T 225 39 215 0 0
143 T 222 42 229 0 0
143 T 192 40 42 0 0
143 T 2 59 139 0 0
143 T 141 130 13 0 0
143 T 81 128 59 0 0
143 T 11 134 146 0 0
143 T 144 59 2 0 0
143 T 59 132 85 0 0
143 T 62 73 69 0 0
143 T 67 90 1 0 0
143 T 90 71 140 0 0
143 T 1 102 75 1 0
143 T 77 72 62 1 0
143 T 143 74 102 0 0
143 T 67 63 76 0 0
143 T 99 65 88 0 0
143 T 4 103 165 0 -1
143 T 163 98 21 0 0
143 T 7 96 103 0 0
143 T 18 94 158 0 0
143 T 156 108 4 0 0
143 T 108 92 10 0 0
143 T 178 100 165 0 0
143 T 105 102 135 0 0
143 T 156 88 173 0 0
143 T 147 90 110 0 0
143 T 79 194 84 0 0
143 T 97 36 103 0 0
143 T 108 31 93 0 0
143 T 89 170 13 0 0
143 T 74 130 170 0 0
143 T 11 181 101 0 0
143 T 181 134 71 0 0
143 T 89 49 167 0 0
143 T 180 47 101 0 0
143 T 163 34 95 0 0
143 T 91 34 158 1 0
143 T 24 128 107 0 0
143 T 94 130 115 0 0
143 T 104 132 30 0 0
143 T 114 134 98 0 0
143 T 206 170 23 0 0
143 T 89 185 204 0 0
143 T 24 213 87 0 0
143 T 185 211 170 0 0
143 T 199 188 101 0 0
143 T 99 209 30 0 0
143 T 29 181 201 0 0
143 T 181 207 188 0 0
143 T 212 53 87 0 0
143 T 99 52 208 0 0
143 T 206 72 107 0 0
143 T 104 73 201 0 0
143 T 26 64 28 0 0
143 T 111 66 117 0 0
143 T 65 63 65 0 0
143 T 95 196 92 0 0
143 T 62 161 121 0 0
143 T 119 93 69 0 0
143 T 71 91 161 0 0
143 T 77 97 119 0 0
143 T 121 152 62 0 0
143 T 152 95 74 0 0
143 T 82 123 154 0 0
143 T 121 125 129 0 0
143 T 159 126 86 1 0
143 T 133 124 121 0 0
143 T 118 123 67 0 0
143 T 76 125 112 -1 0
143 T 195 151 159 0 0
143 U 22 1 1 0 -1
143 U 8 1 1 0 0
143 U 3 1 1 0 0
143 U 9 2 2 -1 1
143 U 17 2 2 0 0
143 U 3 2 2 0 1
143 U 1 3 4 0 0
143 U 14 4 3 0 0
143 U 79 4 4 0 0
143 U 5 4 3 0 0
143 U 41 3 4 0 0
143 U 1 5 6 1 0
143 U 83 5 5 0 0
143 U 12 6 5 0 0
143 U 40 6 5 0 0
143 U 6 5 6 0 0
143 U 38 7 8 0 0
143 U 116 7 7 0 0
143 U 26 8 7 0 0
143 U 24 8 7 0 0
143 U 32 7 8 0 0
143 U 114 9 9 0 0
143 U 37 10 9 0 0
143 U 28 9 10 0 0
143 U 36 10 9 0 0
143 U 29 9 10 0 0
143 U 0 11 14 0 0
143 U 43 13 11 0 0
143 U 65 14 11 0 0
143 U 55 12 11 0 0
143 U 57 14 13 0 0
143 U 20 15 16 0 0
143 U 184 15 15 0 0
143 U 46 16 15 0 0
143 U 54 16 15 0 0
143 U 50 15 16 0 0
143 U 190 17 17 0 0
143 U 16 18 17 0 0
143 U 45 17 18 1 0
143 U 47 18 17 0 0
143 U 52 17 18 0 0
