151 A 4 0 1 2 -1 -2
151 A 5 0 2 1 -2 -1
151 A -2 1 -11 0 11 0
151 A -2 1 -9 0 9 0
151 A -2 1 -17 -1 17 1
151 A 1 1 9 0 -9 0
151 A 1 1 -18 1 18 -1
151 A 1 1 -11 0 11 0
151 A -3 1 -18 -1 18 1
151 A 2 1 -19 1 19 -1
151 A 8 0 5 -2 -5 2
151 A 8 0 1 -2 -1 2
151 A 8 0 1 2 -1 -2
151 A 8 0 3 -2 -3 2
151 A -7 1 -10 -3 10 3
151 A 6 1 -13 3 13 -3
151 A 10 0 3 4 -3 -4
151 A 5 0 1 -2 1 -2
151 A 7 0 3 1 3 1
151 A 9 0 -2 4 -2 4
151 A 5 0 0 -2 1 -1
151 A 5 0 0 1 -2 2
151 A -1 1 -17 0 9 0
151 A -1 1 -11 0 7 0
151 A 0 1 -7 0 11 0
151 A 0 1 -9 0 17 0
151 A -2 1 -7 0 -15 -1
151 A 1 1 -16 1 -7 0
151 A -3 1 -7 0 16 1
151 A 2 1 -7 0 17 -1
151 A 7 0 -3 3 0 -3
151 A 7 0 -1 2 5 -3
151 A 7 0 1 2 -3 2
151 A -4 1 9 1 15 2
151 A -4 1 -17 -1 -15 -1
151 A -4 1 5 1 7 1
151 A 3 1 -17 2 -10 1
151 A 3 1 -8 1 -6 1
151 A 3 1 16 -1 18 -1
151 A -5 1 -8 -1 4 1
151 A -5 1 10 1 17 2
151 A 4 1 5 -1 -9 1
151 A 4 1 11 -1 19 -2
151 A -6 1 -5 -1 13 3
151 A 5 1 -16 3 6 -1
151 A -7 1 -6 -1 16 3
151 A -7 1 7 2 5 2
151 A 6 1 -19 3 7 -1
151 A 6 1 -7 2 -9 2
151 A 9 0 3 -4 5 -2
151 A 9 0 1 4 -5 4
151 A 9 0 2 4 6 -4
151 A 9 0 -3 -2 1 -4
151 A -8 1 7 1 9 2
151 A 7 1 11 -2 8 -1
151 A -9 1 -11 -2 10 1
151 A 8 1 13 -2 -11 1
151 S -2 1 4 0
151 S 1 1 4 0
151 S 1 1 5 0
151 S -3 2 5 0
151 S -2 1 5 0
151 S 1 2 5 0
151 T 81 85 43 0 0
151 T 134 124 0 0 0
151 T 169 102 111 0 0
151 T 134 49 79 0 0
151 T 85 54 126 0 0
151 T 41 47 54 0 0
151 T 144 141 0 -1 0
151 T 144 93 180 -1 0
151 T 184 91 139 0 0
151 T 156 46 147 0 0
151 T 50 63 1 0 0
151 T 63 62 98 0 0
151 T 2 60 53 0 0
151 T 5 35 37 1 0
151 T 113 58 19 0 0
151 T 24 56 130 0 0
151 T 99 135 8 0 0
151 T 135 68 26 0 0
151 T 145 61 111 0 0
151 T 128 59 150 0 0
151 T 99 65 141 0 0
151 T 158 63 137 0 0
151 T 188 127 79 0 0
151 T 177 129 160 0 0
151 T 152 136 166 0 0
151 T 161 95 154 0 0
151 T 192 97 189 0 0
151 T 56 129 31 0 0
151 T 34 136 68 0 0
151 T 113 30 55 0 0
151 T 67 30 101 0 0
151 T 81 46 83 0 0
151 T 50 67 90 0 0
151 T 88 85 75 0 0
151 T 90 55 54 0 0
151 T 72 80 88 0 0
151 T 111 171 91 0 0
151 T 171 143 74 0 0
151 T 94 171 99 -1 0
151 T 77 139 171 0 0
151 U 20 1 1 0 -1
151 U 23 1 1 0 0
151 U 7 1 1 0 0
151 U 15 2 2 -1 1
151 U 8 2 2 -1 0
151 U 26 2 2 0 0
151 U 34 3 4 0 0
151 U 17 4 3 0 0
151 U 151 4 4 0 0
151 U 27 4 3 0 0
151 U 21 3 4 0 0
151 U 31 5 6 0 0
151 U 159 5 5 0 0
151 U 14 6 5 0 0
151 U 12 6 5 0 0
151 U 28 5 6 -1 0
151 U 51 7 9 0 0
151 U 117 7 7 0 0
151 U 73 9 7 0 0
151 U 14 8 7 0 0
151 U 9 7 8 0 0
151 U 122 9 9 0 0
151 U 36 10 9 0 0
151 U 39 9 10 1 0
151 U 77 11 13 0 0
151 U 110 11 11 0 0
151 U 48 13 11 0 0
151 U 10 12 11 -1 0
151 U 18 11 12 0 0
151 U 105 13 13 0 0
151 U 40 14 13 0 0
151 U 37 13 14 0 0
151 Q 5 12 6 21 0 0 1 0 0 0
