155 A 6 0 -1 2 1 -2
155 A -1 1 14 0 -14 0
155 A 0 1 14 0 -14 0
155 A -3 1 16 1 -16 -1
155 A 2 1 -17 1 17 -1
155 A -4 1 12 1 -12 -1
155 A 3 1 -13 1 13 -1
155 A -1 2 -17 1 17 -1
155 A 7 0 -1 2 -1 2
155 A 4 0 1 1 -2 1
155 A 4 0 -1 1 0 -1
155 A 5 0 -3 2 -1 -2
155 A 5 0 -2 1 1 1
155 A 5 0 -2 2 0 2
155 A 5 0 -1 1 0 -1
155 A 6 0 -2 1 -1 -1
155 A -1 1 11 0 7 0
155 A 0 1 11 0 7 0
155 A -2 1 15 1 12 0
155 A 1 1 12 0 16 -1
155 A -3 1 13 1 11 1
155 A -3 1 10 1 -7 0
155 A -3 1 14 1 -8 0
155 A 2 1 7 0 -11 1
155 A 2 1 -15 1 8 0
155 A 2 1 -12 1 -14 1
155 A 7 0 3 1 -2 -3
155 A -4 1 4 1 15 1
155 A 3 1 -16 1 -5 1
155 A -5 1 8 1 4 1
155 A 4 1 -5 1 -9 1
155 A -6 1 13 2 5 1
155 A 5 1 -15 2 -6 1
155 A -7 1 11 2 -6 -1
155 A 6 1 -7 1 13 -2
155 S 2 1 5 0
155 S -1 2 5 0
155 T 0 117 114 0 0
155 T 125 119 0 0 0
155 T 112 5 123 0 0
155 T 119 6 117 0 0
155 T 1 2 1 0 0
155 T 96 80 3 0 0
155 T 7 84 98 0 0
155 T 80 86 88 0 0
155 T 92 74 66 0 0
155 T 32 100 94 0 0
155 T 34 66 4 0 0
155 T 74 102 3 0 0
155 T 25 23 25 -1 0
155 T 29 24 30 0 0
155 T 124 57 17 0 0
155 T 111 67 57 0 0
155 T 104 109 0 0 0
155 T 82 29 106 0 0
155 T 28 71 109 0 0
155 T 60 39 64 0 0
155 T 39 31 34 0 0
155 T 44 45 37 0 0
155 T 31 60 4 0 0
155 T 89 115 52 0 0
155 T 54 50 81 0 0
155 T 50 117 85 0 0
155 T 77 101 9 0 0
155 T 69 71 75 0 0
155 T 114 47 76 0 0
155 T 48 105 46 0 0
155 T 108 49 45 0 0
155 T 47 58 74 0 0
155 T 58 43 27 0 0
155 T 44 28 54 0 0
155 T 22 55 51 0 0
155 T 123 121 22 0 0
155 T 52 16 121 0 0
155 T 98 34 91 0 0
155 T 61 82 93 0 0
155 T 97 42 102 0 0
155 U 6 4 3 0 0
155 U 68 3 3 0 0
155 U 17 3 4 0 0
155 U 10 3 4 0 0
155 U 4 4 3 -1 0
155 U 39 7 7 0 0
155 U 14 8 7 0 0
155 U 12 7 8 0 0
155 U 84 8 5 0 0
155 U 77 5 8 0 0
155 U 35 5 5 -1 0
155 U 20 6 5 0 0
155 U 89 1 1 0 0
155 U 7 2 1 0 0
155 U 3 1 2 0 0
155 U 5 1 2 0 0
155 U 15 2 1 0 0
155 Q 11 2 13 1 -1 1 0 0 0 -1
155 Q 24 19 23 20 1 0 1 0 0 0
155 Q 2 92 0 94 -1 0 0 0 -1 0
155 Q 25 66 2 62 0 0 0 0 0 0
155 Q 23 35 23 35 0 0 0 0 0 0
