159 A 4 0 -1 2 1 -2
159 A 5 0 -1 2 1 -2
159 A -1 1 19 0 -19 0
159 A -1 1 11 0 -11 0
159 A -1 1 9 0 -9 0
159 A 0 1 19 0 -19 0
159 A 0 1 11 0 -11 0
159 A 0 1 9 0 -9 0
159 A -2 1 13 0 -13 0
159 A 1 1 13 0 -13 0
159 A 7 0 2 3 -2 -3
159 A -4 1 17 2 -17 -2
159 A 3 1 -19 2 19 -2
159 A -5 1 6 1 -6 -1
159 A 4 1 -7 1 7 -1
159 A 8 0 -3 2 3 -2
159 A 8 0 -1 2 1 -2
159 A 8 0 1 2 -1 -2
159 A 8 0 3 2 -3 -2
159 A -8 1 9 1 -9 -1
159 A 7 1 -10 1 10 -1
159 A 10 0 -1 2 1 -2
159 A -1 2 -28 1 28 -1
159 A -4 2 13 0 -13 0
159 A 2 2 13 0 -13 0
159 A -10 2 9 2 -9 -2
159 A 8 2 -11 2 11 -2
159 A 5 0 2 1 2 1
159 A 11 0 3 5 3 5
159 A 13 0 -3 6 -3 6
159 A 5 0 -3 2 2 -1
159 A 5 0 1 2 -1 -1
159 A -1 1 17 0 7 0
159 A 0 1 17 0 7 0
159 A -2 1 17 1 11 0
159 A 1 1 11 0 18 -1
159 A -3 1 8 1 -18 -1
159 A -3 1 10 1 7 0
159 A 2 1 -19 1 9 -1
159 A 2 1 7 0 11 -1
159 A 7 0 -2 3 -1 3
159 A 7 0 -1 2 -3 -1
159 A -4 1 5 1 15 2
159 A 3 1 -6 1 -17 2
159 A -5 1 8 1 13 2
159 A 4 1 -9 1 -15 2
159 A -6 1 5 1 13 1
159 A -6 1 11 1 -15 -3
159 A -6 1 7 1 -15 -2
159 A 5 1 -8 1 17 -2
159 A 5 1 -12 1 18 -3
159 A 5 1 -14 1 -6 1
159 A 9 0 -4 4 0 4
159 A 9 0 -3 2 1 2
159 A -7 1 6 1 -5 -2
159 A -7 1 16 3 17 2
159 A 6 1 -19 2 -19 3
159 A 6 1 -7 1 7 -2
159 A -8 1 9 2 7 2
159 A 7 1 -9 2 -11 2
159 A -9 1 6 3 -8 -1
159 A 8 1 -9 1 9 -3
159 A 11 0 -7 4 3 4
159 A -10 1 1 2 -11 -2
159 A 9 1 -3 2 13 -2
159 A 12 0 -5 2 -3 2
159 A 12 0 3 2 1 2
159 S -1 1 4 0
159 S 0 2 5 0
159 S 0 1 5 0
159 S -2 1 6 0
159 S 1 1 6 0
159 S -2 2 5 0
159 S -1 1 5 0
159 S 0 1 4 0
159 T 105 107 105 0 0
159 T 2 4 2 0 0
159 T 133 99 6 0 0
159 T 27 81 135 0 0
159 T 81 15 99 0 0
159 T 11 110 104 0 0
159 T 18 94 110 0 0
159 T 36 93 204 0 0
159 T 147 87 35 0 0
159 T 202 118 145 0 0
159 T 87 120 93 0 0
159 T 133 40 82 0 0
159 T 124 3 125 0 0
159 T 142 137 3 0 0
159 T 146 89 6 0 0
159 T 149 94 211 0 0
159 T 51 188 151 0 0
159 T 94 186 57 0 0
159 T 202 111 180 0 0
159 T 77 115 208 0 0
159 T 115 66 46 0 0
159 T 75 79 108 0 0
159 T 103 131 206 0 0
159 T 115 81 101 0 0
159 T 81 77 131 0 0
159 T 94 24 187 0 0
159 T 190 53 132 0 0
159 T 102 56 192 0 0
159 T 120 73 210 0 0
159 T 85 150 73 0 0
159 T 9 92 88 0 0
159 T 86 145 29 0 0
159 T 73 92 161 0 0
159 T 174 0 163 0 0
159 T 154 98 92 0 0
159 T 98 77 176 0 0
159 T 13 160 20 0 0
159 T 195 193 195 1 0
159 T 82 153 86 0 0
159 T 88 91 41 0 0
159 T 42 99 84 0 0
159 T 165 106 170 0 0
159 T 194 170 167 0 0
159 T 25 69 120 0 0
159 T 113 67 26 0 0
159 T 118 60 115 0 0
159 T 60 71 67 0 0
159 T 104 22 189 0 0
159 T 187 0 191 0 0
159 T 152 0 131 0 0
159 T 200 160 201 0 0
159 T 110 184 198 0 0
159 T 184 177 160 0 0
159 T 115 136 197 0 0
159 T 120 62 113 0 0
159 T 89 67 171 0 0
159 T 168 69 97 0 0
159 T 43 71 117 0 0
159 T 39 104 200 0 0
159 T 176 59 161 0 0
159 U 15 2 2 0 0
159 U 28 2 2 -1 1
159 U 5 2 2 -1 1
159 U 37 5 6 0 0
159 U 19 6 5 0 0
159 U 180 5 5 0 0
159 U 18 5 6 0 0
159 U 36 6 5 0 0
159 U 125 9 7 0 0
159 U 13 10 9 0 0
159 U 69 7 10 0 0
159 U 74 7 9 0 0
159 U 33 9 10 0 0
159 U 138 9 8 0 0
159 U 8 8 7 0 0
159 U 47 9 10 0 0
159 U 32 11 12 0 0
159 U 205 11 11 0 0
159 U 46 12 11 0 0
159 U 53 12 11 0 0
159 U 56 11 12 0 0
159 U 22 3 4 0 0
159 U 2 4 4 0 0
159 U 23 4 3 1 0
159 U 50 4 3 0 0
159 U 210 14 14 0 0
159 U 34 14 13 0 0
159 U 44 13 14 0 0
159 U 52 13 14 0 0
159 U 58 14 13 0 0
