179 A 5 0 -1 2 1 -2
179 A 6 0 -1 2 1 -2
179 A -1 1 19 0 -19 0
179 A 0 1 19 0 -19 0
179 A -3 1 13 1 -13 -1
179 A 2 1 -14 1 14 -1
179 A -5 1 9 1 -9 -1
179 A 4 1 -10 1 10 -1
179 A -6 1 14 2 -14 -2
179 A 5 1 -16 2 16 -2
179 A 10 0 -1 2 1 -2
179 A 12 0 5 2 -5 -2
179 A 5 0 2 1 2 1
179 A 7 0 3 1 3 1
179 A 11 0 -2 4 -2 4
179 A 4 0 1 1 2 -1
179 A 4 0 -1 1 0 1
179 A 5 0 -3 2 2 -1
179 A 5 0 1 2 -1 -1
179 A 6 0 -2 1 -1 -1
179 A -1 1 17 0 -8 0
179 A -1 1 16 0 14 0
179 A -1 1 13 0 -7 0
179 A 0 1 17 0 -8 0
179 A 0 1 16 0 14 0
179 A 0 1 13 0 -7 0
179 A -2 1 18 1 7 0
179 A -2 1 16 1 13 0
179 A 1 1 13 0 17 -1
179 A 1 1 7 0 19 -1
179 A 7 0 -4 2 -2 -2
179 A 7 0 -3 1 1 -3
179 A 7 0 -3 2 1 2
179 A 7 0 2 3 1 -2
179 A 7 0 2 1 2 -3
179 A -3 1 16 1 8 0
179 A 2 1 -17 1 -8 0
179 A -4 1 6 1 13 1
179 A 3 1 -14 1 -7 1
179 A 8 0 1 3 -4 3
179 A -5 1 17 2 7 1
179 A 4 1 -8 1 -19 2
179 A -6 1 10 1 8 1
179 A 5 1 -9 1 -11 1
179 A -9 1 11 1 -14 -3
179 A 8 1 -12 1 17 -3
179 S 0 2 5 0
179 S 0 1 5 0
179 S -2 2 5 0
179 S -1 1 5 0
179 T 156 122 23 0 0
179 T 158 119 28 0 0
179 T 49 130 107 0 0
179 T 30 49 45 0 0
179 T 109 125 43 0 0
179 T 125 128 30 0 0
179 T 120 115 32 0 0
179 T 115 34 122 0 0
179 T 141 102 54 0 0
179 T 52 122 57 0 0
179 T 6 120 102 0 0
179 T 121 124 60 0 0
179 T 7 126 157 0 0
179 T 70 52 116 0 0
179 T 118 111 5 0 0
179 T 135 113 52 0 0
179 T 38 39 37 0 0
179 T 41 39 41 0 0
179 T 95 88 4 0 0
179 T 104 96 97 0 0
179 T 31 111 99 0 0
179 T 84 133 88 0 0
179 T 86 98 3 0 0
179 T 157 34 152 0 0
179 T 154 115 27 0 0
179 T 66 81 110 0 0
179 T 108 93 76 0 0
179 T 63 106 77 0 0
179 T 1 2 1 0 0
179 T 126 64 51 0 0
179 T 53 81 46 0 0
179 T 127 76 54 0 0
179 T 52 91 50 0 0
179 T 152 29 157 0 0
179 T 86 105 90 0 0
179 T 45 37 84 0 0
179 T 88 38 47 0 0
179 T 143 42 148 0 0
179 T 19 18 42 0 0
179 T 9 101 94 0 0
179 T 56 131 70 0 0
179 T 8 154 127 0 0
179 T 129 118 74 0 0
179 T 22 116 154 0 0
179 T 66 58 62 0 0
179 T 71 67 75 0 0
179 T 12 114 79 0 0
179 U 8 4 3 0 0
179 U 74 3 3 0 0
179 U 22 3 4 0 0
179 U 14 3 4 0 0
179 U 4 4 3 -1 0
179 U 57 7 6 0 0
179 U 141 5 7 0 0
179 U 6 6 5 0 0
179 U 49 8 5 0 0
179 U 145 8 8 0 0
179 U 9 6 5 0 0
179 U 26 8 7 0 0
179 U 19 7 8 0 0
179 U 70 12 9 0 0
179 U 5 9 10 0 0
179 U 135 10 12 0 0
179 U 46 11 10 0 0
179 U 147 11 11 0 0
179 U 12 9 10 0 0
179 U 25 11 12 0 0
179 U 17 12 11 0 0
179 U 7 1 2 0 0
179 U 61 2 2 0 0
179 U 24 2 1 0 0
179 U 16 2 1 0 0
179 U 3 1 2 0 0
179 Q 39 105 39 105 0 0 0 0 0 0
179 Q 39 78 0 64 0 0 0 0 0 0
179 Q 108 1 110 41 0 1 0 0 0 -1
179 Q 0 93 2 81 0 -1 0 0 0 0
179 Q 111 0 101 2 0 0 1 -1 0 0
179 Q 15 103 13 106 0 0 0 0 0 0
179 Q 1 10 2 11 0 0 -1 1 0 1
