187 A 7 0 2 3 -2 -3
187 A -1 2 -27 1 27 -1
187 A 4 0 1 1 -2 1
187 A 4 0 -1 1 0 -1
187 A 5 0 -3 2 1 2
187 A 5 0 2 1 -1 2
187 A 5 0 -2 1 -1 -1
187 A 5 0 -2 2 0 -1
187 A 5 0 -1 1 0 -2
187 A 6 0 2 1 3 -1
187 A 6 0 -2 1 1 1
187 A 6 0 -1 1 0 -1
187 A -1 1 20 0 7 0
187 A -1 1 18 0 13 0
187 A 0 1 20 0 7 0
187 A 0 1 18 0 13 0
187 A 7 0 3 1 1 -2
187 A 7 0 -3 1 -3 2
187 A 7 0 2 1 1 2
187 A 7 0 -2 2 0 -2
187 A 7 0 -2 3 -1 3
187 A -3 1 17 1 -8 0
187 A 2 1 8 0 -18 1
187 A -4 1 9 1 5 1
187 A -4 1 8 0 18 1
187 A 3 1 -19 1 -8 0
187 A 3 1 -6 1 -10 1
187 A -5 1 4 1 -10 -1
187 A 4 1 -11 1 5 -1
187 S -4 2 7 0
187 S -2 1 7 0
187 S 1 3 7 0
187 S -7 0 -2 1
187 S -19 -1 -2 1
187 S -14 0 -2 1
187 T 22 24 22 1 0
187 T 25 32 40 0 0
187 T 27 33 29 0 0
187 T 38 35 23 0 0
187 T 1 2 1 0 0
187 T 53 88 63 0 0
187 T 31 42 98 0 0
187 T 111 13 100 0 0
187 T 32 111 43 0 0
187 T 42 48 41 0 0
187 T 51 48 52 0 0
187 T 33 90 112 0 0
187 T 42 92 25 0 0
187 T 46 93 92 0 0
187 T 90 6 78 0 0
187 T 76 5 93 0 0
187 T 8 4 5 0 0
187 T 5 106 72 0 0
187 T 70 101 6 0 0
187 T 8 103 106 0 0
187 T 107 73 66 0 0
187 T 68 81 6 0 0
187 T 81 75 71 0 0
187 T 80 83 70 0 0
187 T 85 87 85 0 0
187 T 50 38 56 0 0
187 T 62 33 49 0 0
187 T 20 17 16 0 0
187 T 15 13 15 -1 0
187 T 74 113 18 0 0
187 T 119 78 17 0 0
187 T 113 0 117 0 0
187 T 111 20 69 0 0
187 T 71 67 91 0 0
187 T 34 65 20 0 0
187 T 58 95 72 0 0
187 T 82 5 60 0 0
187 T 27 95 41 0 0
187 T 99 93 38 0 0
187 T 59 80 103 0 0
187 T 19 71 98 0 0
187 T 34 106 115 0 0
187 T 58 40 20 0 0
187 T 118 38 102 0 0
187 U 77 7 11 0 0
187 U 13 11 1 0 0
187 U 0 3 7 0 0
187 U 75 1 3 0 0
187 U 8 2 12 -1 0
187 U 48 8 4 0 0
187 U 55 8 6 0 0
187 U 24 6 10 0 0
187 U 61 10 4 0 0
187 U 12 12 1 0 0
187 U 9 9 10 1 0
187 U 10 6 5 0 0
187 U 2 10 6 -1 1
187 Q 88 2 88 2 -1 1 1 -1 0 -1
187 Q 85 25 13 27 1 0 0 0 0 0
