195 A 7 0 -1 2 1 -2
195 A -2 1 16 0 -16 0
195 A 1 1 16 0 -16 0
195 A -3 1 18 1 -18 -1
195 A 2 1 -19 1 19 -1
195 A -1 2 -34 1 34 -1
195 A -1 2 -19 1 19 -1
195 A -1 2 14 0 -14 0
195 A 4 0 1 1 2 -1
195 A 4 0 -1 1 0 1
195 A 5 0 -3 2 -1 -2
195 A 5 0 -2 1 1 1
195 A 5 0 -2 2 0 2
195 A 5 0 -1 1 0 -1
195 A 6 0 2 1 -3 1
195 A 6 0 -1 1 0 1
195 A 7 0 -4 3 2 -1
195 A 7 0 -4 2 2 2
195 A 7 0 3 1 2 3
195 A 7 0 -3 1 -2 -1
195 A 7 0 -3 2 -2 3
195 A 7 0 1 3 -1 -1
195 A 7 0 1 2 -1 3
195 A -2 1 17 1 8 0
195 A 1 1 8 0 18 -1
195 A -3 1 20 1 -9 -1
195 A 2 1 -21 1 10 -1
195 A -4 1 19 1 -8 0
195 A 3 1 -20 1 8 0
195 A 14 0 4 5 -9 5
195 S 0 3 7 0
195 S 0 2 7 0
195 S 0 1 7 0
195 S -21 0 0 1
195 S -14 0 0 1
195 S -7 0 0 1
195 S 2 1 5 0
195 S -1 2 5 0
195 T 80 24 91 0 0
195 T 98 23 74 0 0
195 T 24 30 23 0 0
195 T 30 28 30 0 0
195 T 104 40 101 0 0
195 T 63 101 31 0 0
195 T 33 89 55 0 0
195 T 57 68 65 0 0
195 T 60 62 60 1 0
195 T 76 66 70 0 0
195 T 59 71 79 0 0
195 T 68 87 101 0 0
195 T 5 3 5 0 0
195 T 42 33 32 0 0
195 T 46 43 36 0 0
195 T 34 65 104 0 0
195 T 51 53 51 0 0
195 T 47 49 47 1 0
195 T 1 2 1 0 0
195 T 86 70 103 0 0
195 T 33 76 84 0 0
195 T 52 87 85 0 0
195 T 109 107 109 -1 0
195 U 10 1 2 0 0
195 U 4 2 2 0 0
195 U 11 2 1 1 0
195 U 18 2 1 0 0
195 U 39 9 3 0 0
195 U 57 14 9 0 0
195 U 75 3 8 0 0
195 U 54 8 14 0 0
195 U 1 4 10 0 1
195 U 74 10 12 0 0
195 U 80 6 4 0 0
195 U 6 12 6 0 0
195 U 0 7 13 0 0
195 U 21 14 7 0 0
195 U 27 11 5 0 0
195 U 8 12 11 0 0
195 U 7 5 6 0 0
195 U 93 15 18 -1 0
195 U 96 18 15 0 0
195 U 37 15 15 0 0
195 U 40 18 18 0 0
195 U 14 17 18 0 0
195 U 16 18 17 0 0
195 U 20 16 15 0 0
195 Q 99 6 106 0 0 0 0 0 0 0
195 Q 48 19 47 20 1 0 1 0 0 0
195 Q 38 50 38 50 0 0 0 0 0 0
195 Q 15 5 13 4 0 0 0 0 0 0
195 Q 30 43 53 44 0 0 0 0 0 0
195 Q 66 2 64 50 0 1 -1 0 0 -1
195 Q 87 38 83 108 0 0 0 0 0 0
195 Q 108 17 107 18 1 0 1 0 0 0
195 Q 108 6 108 6 0 0 0 0 0 0
195 Q 49 69 0 70 0 0 0 0 0 0
195 Q 50 89 6 85 0 0 0 0 0 0
195 Q 59 11 62 10 0 0 0 0 0 0
