203 A 6 0 -1 2 1 -2
203 A -1 1 16 0 -16 0
203 A 0 1 16 0 -16 0
203 A -3 1 17 1 -17 -1
203 A 2 1 -18 1 18 -1
203 A -4 1 8 0 -8 0
203 A 3 1 8 0 -8 0
203 A -1 2 -45 1 45 -1
203 A 4 0 1 1 -2 1
203 A 4 0 -1 1 0 -1
203 A 5 0 -3 2 -2 1
203 A 5 0 2 1 1 -2
203 A 5 0 -2 2 0 -2
203 A 5 0 1 2 1 1
203 A 5 0 -1 1 0 1
203 A 6 0 -2 1 -1 -1
203 A 7 0 -4 3 1 3
203 A 7 0 -4 2 1 1
203 A 7 0 -3 1 2 1
203 A 7 0 -3 2 2 -3
203 A 7 0 -3 3 0 -1
203 A 7 0 2 2 -2 1
203 A 7 0 -2 2 0 2
203 A 7 0 1 2 1 -3
203 A 7 0 -1 1 0 -3
203 A -1 1 19 0 8 0
203 A 0 1 19 0 8 0
203 A -2 1 18 1 -8 0
203 A 1 1 8 0 -19 1
203 A -3 1 10 0 14 1
203 A 2 1 -15 1 -10 0
203 A -4 1 6 1 -15 -1
203 A -4 1 13 1 -22 -1
203 A -4 1 7 1 -19 -1
203 A -4 1 16 1 18 1
203 A 3 1 -23 1 14 -1
203 A 3 1 -20 1 8 -1
203 A 3 1 -17 1 -19 1
203 A 3 1 -7 1 16 -1
203 A 8 0 -2 3 -1 3
203 A 8 0 1 3 4 -3
203 A -5 1 17 2 16 1
203 A -5 1 21 2 11 1
203 A 4 1 -17 1 -19 2
203 A 4 1 -23 2 -12 1
203 A -6 1 8 1 -17 -2
203 A 5 1 -9 1 19 -2
203 A -7 1 15 2 9 1
203 A 6 1 -10 1 -17 2
203 S 3 1 7 0
203 S 2 3 7 0
203 S -1 2 7 0
203 T 136 106 4 0 0
203 T 106 141 10 0 0
203 T 141 136 138 0 0
203 T 100 60 3 0 0
203 T 62 76 60 0 0
203 T 65 57 70 0 0
203 T 81 79 67 0 0
203 T 72 85 54 0 0
203 T 82 74 88 0 0
203 T 101 62 98 0 0
203 T 76 101 4 0 0
203 T 179 48 184 0 0
203 T 5 176 177 0 0
203 T 182 169 6 0 0
203 T 176 171 48 0 0
203 T 8 115 110 0 0
203 T 107 78 112 0 0
203 T 149 3 153 0 0
203 T 155 110 30 0 0
203 T 32 121 151 0 0
203 T 121 112 3 0 0
203 T 1 2 1 0 0
203 T 115 178 50 0 0
203 T 142 51 183 0 0
203 T 24 22 24 1 0
203 T 27 22 28 0 0
203 T 72 92 38 0 0
203 T 40 163 67 0 0
203 T 57 161 92 0 0
203 T 159 48 166 0 0
203 T 65 25 157 0 0
203 T 168 26 83 0 0
203 T 48 46 48 0 0
203 T 41 40 33 0 0
203 T 36 40 32 0 0
203 T 44 48 30 0 0
203 T 176 147 169 0 0
203 T 147 145 147 0 0
203 T 128 123 115 0 0
203 T 165 1 160 0 0
203 T 102 96 150 0 0
203 T 96 75 154 0 0
203 T 124 89 49 0 0
203 T 51 100 31 0 0
203 T 152 98 89 0 0
203 T 93 11 169 0 0
203 T 176 13 91 0 0
203 T 89 148 95 0 0
203 T 86 95 40 0 0
203 T 38 153 84 0 0
203 T 108 161 43 0 0
203 T 35 67 106 0 0
203 T 94 139 181 0 0
203 T 131 27 29 0 0
203 T 43 28 119 0 0
203 T 163 149 3 0 0
203 T 41 149 136 0 0
203 T 134 93 52 0 0
203 T 50 101 43 0 0
203 T 90 128 180 0 0
203 T 82 110 36 0 0
203 U 10 3 4 0 0
203 U 138 4 4 0 0
203 U 4 4 3 -1 0
203 U 5 3 4 0 0
203 U 11 4 3 0 0
203 U 116 10 5 0 0
203 U 61 5 5 -1 0
203 U 141 5 10 0 0
203 U 79 9 9 0 0
203 U 130 8 9 1 0
203 U 118 9 8 0 0
203 U 16 5 6 0 0
203 U 17 6 5 1 0
203 U 55 7 7 0 0
203 U 20 8 7 0 0
203 U 6 2 1 0 0
203 U 13 1 2 0 0
203 U 127 2 2 0 0
203 U 7 2 1 0 0
203 U 3 1 2 0 0
203 Q 2 20 2 19 0 -1 0 0 -1 0
203 Q 0 57 21 75 0 0 0 0 0 0
203 Q 56 2 56 2 -1 1 1 -1 0 -1
203 Q 1 85 0 70 0 0 -1 1 0 1
203 Q 17 0 16 0 0 0 0 0 0 0
203 Q 34 22 36 147 0 0 0 0 -1 0
