21 A 0 1 8 0 -8 0
21 A 0 2 -20 1 20 -1
21 A 0 2 -13 0 13 0
21 A 0 2 -8 1 8 -1
21 A 4 0 2 -1 2 -1
21 A 4 0 0 1 0 1
21 A -1 1 5 0 -9 0
21 A 1 1 5 0 -9 0
21 A 9 0 4 4 -4 4
21 S -5 0 -2 1
21 S -8 -1 -2 1
21 S 2 -1 5 0
21 S -1 -2 5 0
21 T 16 23 19 0 0
21 T 3 5 3 -1 0
21 T 29 27 29 1 0
21 U 8 1 1 0 0
21 U 1 1 1 -1 0
21 U 7 2 3 0 0
21 U 4 2 2 0 0
21 U 11 3 2 0 0
21 U 0 4 9 0 0
21 U 21 10 4 0 0
21 U 23 9 7 0 0
21 U 5 7 10 0 0
21 U 15 9 4 0 0
21 U 1 10 7 0 1
21 U 13 8 4 -1 0
21 U 6 10 6 0 0
21 Q 9 27 8 26 0 0 0 0 -1 0
21 Q 28 22 3 20 0 0 0 0 0 0
21 Q 14 5 14 5 0 0 0 0 1 0
21 Q 16 11 17 10 0 0 0 0 0 0
