211 A 5 0 2 1 -2 -1
211 A -2 1 19 1 -19 -1
211 A 1 1 -20 1 20 -1
211 A -4 1 10 1 -10 -1
211 A 3 1 -11 1 11 -1
211 A 10 0 3 4 -3 -4
211 A 5 0 -1 2 -1 2
211 A 7 0 -1 2 -1 2
211 A 4 0 1 1 2 -1
211 A 4 0 -1 1 0 1
211 A 5 0 -2 2 0 1
211 A 5 0 -1 1 0 2
211 A 6 0 2 1 3 -1
211 A 6 0 -2 1 1 1
211 A 6 0 -1 1 0 -1
211 A 7 0 -4 3 -4 2
211 A 7 0 3 1 -2 -3
211 A 7 0 -3 1 3 -2
211 A 7 0 -3 3 0 3
211 A 7 0 2 2 1 3
211 A 7 0 2 1 -1 -2
211 A 7 0 -2 1 -1 -1
211 A 7 0 -2 2 0 1
211 A 7 0 -2 3 1 -3
211 A 7 0 -1 1 0 2
211 A -1 1 20 0 -8 0
211 A 0 1 20 0 -8 0
211 A -2 1 21 1 -12 0
211 A 1 1 12 0 -22 1
211 A -3 1 19 1 8 0
211 A -3 1 10 1 9 0
211 A 2 1 9 0 11 -1
211 A 2 1 8 0 20 -1
211 A 8 0 3 1 -4 1
211 A 8 0 1 3 -4 3
211 A -4 1 23 1 8 1
211 A 3 1 -24 1 -9 1
211 A -5 1 11 1 -22 -2
211 A 4 1 -12 1 24 -2
211 A -6 1 9 1 5 1
211 A -6 1 11 2 12 1
211 A 5 1 -6 1 -10 1
211 A 5 1 -13 1 -13 2
211 A -7 1 16 3 -11 -1
211 A 6 1 -12 1 19 -3
211 S -2 1 5 0
211 S 1 2 5 0
211 S -3 2 5 0
211 S 1 1 5 0
211 T 55 64 60 0 0
211 T 71 60 76 0 0
211 T 67 88 85 0 0
211 T 78 62 83 0 0
211 T 91 76 77 0 0
211 T 65 53 71 0 0
211 T 81 23 89 0 0
211 T 30 32 30 0 0
211 T 27 30 28 0 0
211 T 87 147 33 0 0
211 T 88 39 144 0 0
211 T 142 29 147 0 0
211 T 27 63 120 0 0
211 T 101 54 25 0 0
211 T 103 120 59 0 0
211 T 56 153 34 0 0
211 T 25 17 153 0 0
211 T 114 106 57 0 0
211 T 75 26 116 0 0
211 T 106 28 72 0 0
211 T 69 163 39 0 0
211 T 156 31 163 0 0
211 T 125 127 125 1 0
211 T 2 1 2 0 0
211 T 116 47 120 0 0
211 T 78 121 95 0 0
211 T 93 4 83 0 0
211 T 64 6 121 0 0
211 T 12 131 14 0 0
211 T 118 44 9 0 0
211 T 41 116 10 0 0
211 T 47 41 44 0 0
211 T 47 52 49 0 0
211 T 45 169 167 0 0
211 T 136 45 137 0 0
211 T 99 89 5 0 0
211 T 3 76 109 0 0
211 T 111 79 97 0 0
211 T 140 42 59 0 0
211 T 77 49 158 0 0
211 T 160 149 0 0 0
211 T 149 50 78 0 0
211 T 136 44 60 0 0
211 T 142 145 2 0 0
211 T 4 5 7 0 0
211 T 124 110 127 0 0
211 T 51 96 37 0 0
211 T 39 124 150 0 0
211 T 100 96 131 0 0
211 T 35 52 98 0 0
211 T 34 22 38 0 0
211 T 109 34 158 0 0
211 T 28 16 164 0 0
211 U 9 1 2 1 0
211 U 134 3 1 0 0
211 U 105 2 3 0 0
211 U 38 2 4 0 0
211 U 16 1 2 0 0
211 U 14 4 3 0 0
211 U 172 3 2 0 0
211 U 20 4 3 0 0
211 U 165 6 7 0 0
211 U 139 7 5 0 0
211 U 19 5 6 1 0
211 U 35 7 5 0 0
211 U 102 5 8 0 0
211 U 18 8 7 0 0
211 U 12 5 6 0 0
211 U 10 8 7 0 0
211 Q 1 69 7 53 0 0 0 0 0 0
211 Q 58 126 60 2 0 0 1 0 -1 0
211 Q 32 24 32 24 0 0 0 0 0 0
211 Q 81 31 89 0 0 0 0 0 0 0
211 Q 1 65 1 65 0 0 0 0 0 0
211 Q 131 7 131 7 0 0 0 0 -1 0
211 Q 7 11 8 13 1 0 0 0 1 0
211 Q 0 125 0 125 0 0 0 0 0 0
