219 A 5 0 -1 2 1 -2
219 A -1 1 21 0 -21 0
219 A 0 1 21 0 -21 0
219 A -2 1 18 1 -18 -1
219 A 1 1 -19 1 19 -1
219 A -6 1 10 1 -10 -1
219 A 5 1 -11 1 11 -1
219 A 10 0 -1 2 1 -2
219 A -1 2 -36 1 36 -1
219 A 5 0 2 1 2 1
219 A 7 0 2 3 2 3
219 A 4 0 1 1 -2 1
219 A 4 0 -1 1 0 -1
219 A 5 0 -3 2 2 -1
219 A 5 0 1 2 -1 -1
219 A 6 0 2 1 -3 1
219 A 6 0 -1 1 0 1
219 A 7 0 -4 3 4 -2
219 A 7 0 3 1 -1 2
219 A 7 0 -3 1 -1 3
219 A 7 0 -3 2 -1 -2
219 A 7 0 -3 3 0 2
219 A 7 0 2 2 -1 -3
219 A 7 0 2 1 -2 3
219 A 7 0 -2 1 1 1
219 A 7 0 -2 2 0 3
219 A 7 0 -1 1 0 -1
219 A -1 1 23 0 -12 0
219 A 0 1 23 0 -12 0
219 A -2 1 10 0 17 0
219 A 1 1 17 0 10 0
219 A -3 1 20 1 -8 0
219 A 2 1 -21 1 8 0
219 A 8 0 -5 3 2 3
219 A 8 0 3 1 -4 3
219 A 8 0 1 3 -4 1
219 A -4 1 9 0 -11 -1
219 A 3 1 9 0 -12 1
219 A -5 1 17 1 12 1
219 A -5 1 21 2 19 2
219 A -5 1 11 1 9 1
219 A 4 1 -10 1 -12 1
219 A 4 1 -18 1 -13 1
219 A 4 1 -23 2 -21 2
219 A 16 0 5 5 -10 5
219 S -2 2 5 0
219 S -1 1 5 0
219 S 0 2 5 0
219 S 0 1 5 0
219 T 27 76 53 0 0
219 T 87 76 65 0 0
219 T 66 55 71 0 0
219 T 89 92 84 0 0
219 T 77 83 63 0 0
219 T 64 88 58 0 0
219 T 58 78 72 0 0
219 T 55 105 37 0 0
219 T 103 74 43 0 0
219 T 48 107 101 0 0
219 T 118 124 126 0 0
219 T 120 118 120 -1 0
219 T 43 26 37 0 0
219 T 48 46 48 1 0
219 T 52 50 52 0 0
219 T 2 1 2 0 0
219 T 61 116 7 0 0
219 T 8 109 79 0 0
219 T 83 111 116 0 0
219 T 140 155 3 0 0
219 T 102 149 138 0 0
219 T 148 108 155 0 0
219 T 149 51 146 0 0
219 T 44 135 126 0 0
219 T 128 62 160 0 0
219 T 93 64 135 0 0
219 T 60 34 133 0 0
219 T 95 36 88 0 0
219 T 29 31 29 1 0
219 T 33 36 30 0 0
219 T 100 156 53 0 0
219 T 99 33 70 0 0
219 T 67 35 153 0 0
219 T 4 6 4 0 0
219 T 98 79 132 0 0
219 T 130 121 39 0 0
219 T 144 123 79 0 0
219 T 12 123 109 0 0
219 T 51 18 19 0 0
219 T 128 115 9 0 0
219 T 36 140 66 0 0
219 T 74 137 94 0 0
219 T 163 161 163 -1 0
219 T 35 60 131 0 0
219 T 135 29 129 0 0
219 U 40 5 4 0 0
219 U 97 4 5 0 0
219 U 146 5 5 0 0
219 U 141 4 4 0 0
219 U 22 6 5 0 0
219 U 19 5 6 0 0
219 U 11 4 3 0 0
219 U 7 3 4 0 0
219 U 15 1 2 0 0
219 U 4 2 2 0 0
219 U 13 2 1 1 0
219 U 24 2 1 0 0
219 U 43 10 7 0 0
219 U 94 7 10 0 0
219 U 152 10 10 0 0
219 U 21 9 10 0 0
219 U 17 10 9 0 0
219 U 160 8 8 0 0
219 U 10 7 8 0 0
219 U 8 8 7 0 0
219 Q 128 0 124 4 0 0 0 0 0 0
219 Q 25 45 25 45 0 0 0 0 1 0
219 Q 3 69 1 85 0 0 0 0 0 0
219 Q 30 76 2 55 0 0 0 0 0 0
219 Q 82 52 82 52 0 0 0 0 0 0
219 Q 50 92 0 91 0 0 0 0 0 0
219 Q 6 162 6 162 0 0 0 0 0 0
219 Q 164 107 84 103 0 0 0 0 0 0
219 Q 2 77 47 63 0 0 0 0 0 0
219 Q 16 118 14 119 0 0 0 0 0 0
219 Q 114 6 111 0 0 0 0 0 0 0
219 Q 6 58 46 60 -1 0 0 0 0 0
219 Q 9 6 12 3 0 0 0 0 0 0
219 Q 162 23 161 24 1 0 1 0 0 0
