227 A 6 0 -1 2 1 -2
227 A 7 0 3 1 -3 -1
227 A -1 1 20 0 -20 0
227 A 0 1 20 0 -20 0
227 A -3 1 8 0 -8 0
227 A 2 1 8 0 -8 0
227 A -4 1 18 1 -18 -1
227 A 3 1 -19 1 19 -1
227 A -5 1 24 2 -24 -2
227 A 4 1 -26 2 26 -2
227 A 12 0 -1 2 1 -2
227 A 14 0 -3 6 3 -6
227 A 4 0 1 1 2 -1
227 A 4 0 -1 1 0 1
227 A 5 0 -3 2 1 2
227 A 5 0 2 1 -1 2
227 A 5 0 -2 1 -1 -1
227 A 5 0 -2 2 0 -1
227 A 5 0 -1 1 0 -2
227 A 6 0 -2 1 -1 -1
227 A 7 0 -4 3 -1 -3
227 A 7 0 -4 2 -1 -1
227 A 7 0 -3 3 0 -2
227 A 7 0 2 3 -1 2
227 A 7 0 2 2 2 -1
227 A 7 0 -2 2 0 -3
227 A 7 0 -1 1 0 1
227 A -1 1 17 0 10 0
227 A 0 1 17 0 10 0
227 A -2 1 20 1 8 0
227 A -2 1 13 0 9 0
227 A 1 1 13 0 9 0
227 A 1 1 8 0 21 -1
227 A -3 1 19 1 17 1
227 A -3 1 16 1 -10 0
227 A -3 1 14 1 -23 -1
227 A -3 1 20 1 -11 0
227 A 2 1 11 0 -21 1
227 A 2 1 -15 1 24 -1
227 A 2 1 -17 1 10 0
227 A 2 1 -18 1 -20 1
227 A 8 0 3 1 4 -3
227 A 8 0 -3 3 0 3
227 A 8 0 -2 3 1 -3
227 A 8 0 1 3 4 -1
227 A -4 1 7 1 21 1
227 A 3 1 -22 1 -8 1
227 A -5 1 4 1 12 1
227 A -5 1 18 1 5 1
227 A -5 1 7 1 22 2
227 A 4 1 -6 1 -19 1
227 A 4 1 -5 1 -13 1
227 A 4 1 -8 1 -24 2
227 A -6 1 8 1 19 2
227 A -6 1 13 1 20 2
227 A -6 1 10 1 26 2
227 A 5 1 -11 1 -28 2
227 A 5 1 -9 1 -21 2
227 A 5 1 -14 1 -22 2
227 A -7 1 17 2 -9 -1
227 A 6 1 -10 1 19 -2
227 A 10 0 -1 3 -2 3
227 A -10 1 24 4 22 4
227 A 9 1 -28 4 -26 4
227 S -3 1 7 0
227 S -2 3 7 0
227 S 1 2 7 0
227 S -3 2 7 0
227 S 2 1 7 0
227 S -1 3 7 0
227 T 0 170 185 0 0
227 T 187 35 170 0 0
227 T 35 33 35 0 0
227 T 29 35 30 0 0
227 T 158 4 176 0 0
227 T 163 158 8 0 0
227 T 161 139 4 0 0
227 T 223 6 194 0 0
227 T 94 19 221 0 0
227 T 196 114 96 0 0
227 T 135 44 29 0 0
227 T 31 105 77 0 0
227 T 177 107 44 0 0
227 T 32 122 42 0 0
227 T 135 124 35 0 0
227 T 94 118 57 0 0
227 T 59 128 194 0 0
227 T 114 126 118 0 0
227 T 98 148 14 0 0
227 T 110 16 157 0 0
227 T 2 22 23 0 0
227 T 1 2 1 0 0
227 T 168 120 4 0 0
227 T 181 145 3 0 0
227 T 145 7 166 0 0
227 T 110 85 98 0 0
227 T 40 38 40 -1 0
227 T 43 49 45 0 0
227 T 52 53 38 0 0
227 T 45 53 42 0 0
227 T 225 227 225 0 0
227 T 12 165 125 0 0
227 T 220 88 224 0 0
227 T 6 212 218 0 0
227 T 212 195 88 0 0
227 T 231 236 1 0 0
227 T 156 200 50 0 0
227 T 152 155 154 0 0
227 T 150 147 158 0 0
227 T 155 55 215 0 0
227 T 213 33 200 0 0
227 T 47 197 130 0 0
227 T 132 155 41 0 0
227 T 189 60 56 0 0
227 T 54 95 84 0 0
227 T 145 185 50 0 0
227 T 170 160 53 0 0
227 T 44 192 101 0 0
227 T 103 59 47 0 0
227 T 3 77 111 0 0
227 T 99 67 4 0 0
227 T 67 88 77 0 0
227 T 87 85 87 0 0
227 T 75 72 64 0 0
227 T 76 82 62 0 0
227 T 149 126 131 0 0
227 T 129 161 10 0 0
227 T 152 163 166 0 0
227 T 220 91 18 0 0
227 T 92 25 218 0 0
227 T 41 127 156 0 0
227 T 228 223 217 0 0
227 T 125 216 48 0 0
227 T 46 105 60 0 0
227 T 193 107 216 0 0
227 T 94 227 92 0 0
227 T 90 75 202 0 0
227 T 75 94 207 0 0
227 T 204 1 205 0 0
227 T 89 142 210 0 0
227 T 141 137 131 0 0
227 T 49 61 201 0 0
227 T 208 62 54 0 0
227 T 31 66 102 0 0
227 T 50 70 92 0 0
227 T 57 140 91 0 0
227 T 212 132 59 0 0
227 T 59 51 178 0 0
227 T 94 224 25 0 0
227 T 200 211 102 0 0
227 U 6 4 3 0 0
227 U 114 3 3 0 0
227 U 19 3 4 0 0
227 U 12 3 4 0 0
227 U 4 4 3 -1 0
227 U 140 5 10 0 0
227 U 173 10 6 0 0
227 U 8 6 5 -1 0
227 U 135 8 9 0 0
227 U 77 9 6 0 0
227 U 177 6 8 0 0
227 U 16 5 6 0 0
227 U 236 8 8 0 0
