235 A -3 1 11 1 -11 -1
235 A 2 1 -12 1 12 -1
235 A -1 2 46 0 -46 0
235 A 7 0 3 1 3 1
235 A 9 0 -1 2 -1 2
235 A 4 0 1 1 -2 1
235 A 4 0 -1 1 0 -1
235 A 5 0 -3 2 -1 -2
235 A 5 0 -2 1 1 1
235 A 5 0 -2 2 0 2
235 A 5 0 -1 1 0 -1
235 A 6 0 2 1 3 -1
235 A 6 0 -2 1 1 1
235 A 6 0 -1 1 0 -1
235 A 7 0 -4 3 -2 1
235 A 7 0 -4 2 -2 -2
235 A 7 0 -3 1 1 -3
235 A 7 0 -3 2 1 2
235 A 7 0 -3 3 0 -3
235 A 7 0 2 3 1 -2
235 A 7 0 2 1 2 -3
235 A 7 0 -2 2 0 -1
235 A 7 0 1 3 1 1
235 A 7 0 -1 1 0 -2
235 A -1 1 22 0 8 0
235 A -1 1 13 0 9 0
235 A 0 1 22 0 8 0
235 A 0 1 13 0 9 0
235 A -2 1 21 1 -8 0
235 A 1 1 8 0 -22 1
235 A 8 0 3 1 4 -1
235 A 8 0 -3 1 2 1
235 A 8 0 -2 3 -1 3
235 A 8 0 1 3 4 -3
235 A -3 1 24 1 12 0
235 A 2 1 -25 1 -12 0
235 A -4 1 17 1 23 1
235 A -4 1 23 2 12 1
235 A 3 1 -24 1 -18 1
235 A 3 1 -13 1 -25 2
235 A -5 1 4 1 25 2
235 A 4 1 -27 2 -5 1
235 A -6 1 10 1 -27 -2
235 A 5 1 -29 2 11 -1
235 S 2 1 5 0
235 S -1 2 5 0
235 T 58 109 147 0 0
235 T 149 24 76 0 0
235 T 78 94 56 0 0
235 T 85 92 67 0 0
235 T 60 68 59 0 0
235 T 65 81 15 0 0
235 T 74 87 81 0 0
235 T 63 57 73 0 0
235 T 84 77 89 0 0
235 T 94 26 109 0 0
235 T 131 3 152 0 0
235 T 154 143 36 0 0
235 T 4 5 7 0 0
235 T 143 4 132 0 0
235 T 101 85 25 0 0
235 T 18 107 99 0 0
235 T 130 128 130 0 0
235 T 121 124 122 0 0
235 T 0 159 166 0 0
235 T 164 65 120 0 0
235 T 119 79 159 0 0
235 T 128 103 95 0 0
235 T 28 36 27 0 0
235 T 39 42 34 0 0
235 T 143 77 29 0 0
235 T 77 154 30 0 0
235 T 118 132 106 0 0
235 T 93 143 116 0 0
235 T 104 6 91 0 0
235 T 172 56 54 0 0
235 T 40 149 174 0 0
235 T 52 109 42 0 0
235 T 49 43 46 0 0
235 T 50 53 52 0 0
235 T 26 19 25 0 0
235 T 21 19 21 -1 0
235 T 113 89 28 0 0
235 T 154 84 111 0 0
235 T 158 170 41 0 0
235 T 174 168 2 0 0
235 T 58 115 28 0 0
235 T 115 124 112 0 0
235 T 111 133 98 0 0
235 T 96 3 86 0 0
235 T 43 79 142 0 0
235 T 135 65 44 0 0
235 T 162 2 165 0 0
235 T 155 19 148 0 0
235 T 77 24 157 0 0
235 T 40 52 100 0 0
235 T 169 87 52 0 0
235 T 1 2 1 0 0
235 T 90 101 158 0 0
235 U 32 2 2 1 0
235 U 140 4 2 0 0
235 U 137 2 4 0 0
235 U 10 1 2 -1 0
235 U 12 2 1 0 0
235 U 37 3 3 0 0
235 U 13 4 3 0 0
235 Q 22 62 7 61 0 0 0 0 0 0
235 Q 68 20 68 20 0 0 0 0 0 0
235 Q 128 14 127 13 0 0 0 0 0 0
235 Q 36 130 36 130 0 0 0 0 0 0
235 Q 97 0 103 38 0 0 0 0 0 0
235 Q 38 71 1 72 0 0 0 0 0 0
235 Q 33 47 33 47 0 0 0 0 0 0
235 Q 9 20 11 21 0 0 0 0 0 0
235 Q 7 115 0 112 0 0 1 0 0 0
235 Q 0 126 0 126 0 0 0 0 0 0
