259 A 5 0 -1 2 1 -2
259 A -1 1 14 0 -14 0
259 A 0 1 14 0 -14 0
259 A -4 1 26 2 -26 -2
259 A 3 1 -28 2 28 -2
259 A -5 1 11 1 -11 -1
259 A 4 1 -12 1 12 -1
259 A 10 0 -1 2 1 -2
259 A -1 2 36 0 -36 0
259 A 5 0 2 1 2 1
259 A 9 0 -2 4 -2 4
259 A 4 0 1 1 2 -1
259 A 4 0 -1 1 0 1
259 A 5 0 -3 2 2 -1
259 A 5 0 1 2 -1 -1
259 A 6 0 2 1 3 -1
259 A 6 0 -2 1 1 1
259 A 6 0 -1 1 0 -1
259 A 7 0 -4 3 1 3
259 A 7 0 -4 2 1 1
259 A 7 0 -3 1 2 1
259 A 7 0 -3 2 2 -3
259 A 7 0 -3 3 0 -1
259 A 7 0 2 2 -2 1
259 A 7 0 -2 2 0 2
259 A 7 0 1 2 1 -3
259 A 7 0 -1 1 0 -3
259 A 8 0 -5 3 -2 1
259 A 8 0 3 1 4 -3
259 A 8 0 -3 1 -2 -1
259 A 8 0 -3 3 0 3
259 A 8 0 2 3 1 1
259 A 8 0 -2 3 1 -3
259 A 8 0 1 3 4 -1
259 A 8 0 -1 1 0 1
259 A -1 1 27 0 12 0
259 A 0 1 27 0 12 0
259 A -2 1 15 0 -9 0
259 A 1 1 15 0 -9 0
259 A -3 1 28 1 13 1
259 A -3 1 24 1 18 1
259 A 2 1 -19 1 -25 1
259 A 2 1 -29 1 -14 1
259 A -4 1 19 1 10 0
259 A -4 1 13 1 9 0
259 A -4 1 28 1 8 1
259 A 3 1 10 0 20 -1
259 A 3 1 -14 1 -9 0
259 A 3 1 -29 1 -9 1
259 A 9 0 4 1 1 -2
259 A -5 1 13 1 23 2
259 A 4 1 -14 1 -25 2
259 A -6 1 14 2 -5 -1
259 A -6 1 16 2 -11 -1
259 A -6 1 25 2 -12 -1
259 A 5 1 -13 1 27 -2
259 A 5 1 -12 1 18 -2
259 A 5 1 -6 1 16 -2
259 A -7 1 26 3 -27 -2
259 A 6 1 -29 2 29 -3
259 S -2 2 5 0
259 S -1 1 5 0
259 S 3 1 7 0
259 S 2 3 7 0
259 S -1 2 7 0
259 S 0 2 5 0
259 S 0 1 5 0
259 T 14 186 163 0 0
259 T 11 176 186 0 0
259 T 124 98 114 0 0
259 T 116 108 115 0 0
259 T 120 110 99 0 0
259 T 106 113 121 0 0
259 T 125 123 125 0 0
259 T 96 101 104 0 0
259 T 38 36 38 0 0
259 T 31 37 32 0 0
259 T 205 211 154 0 0
259 T 152 88 10 0 0
259 T 128 90 211 0 0
259 T 64 195 105 0 0
259 T 103 177 138 0 0
259 T 136 31 66 0 0
259 T 31 175 195 0 0
259 T 1 226 220 0 0
259 T 91 97 225 0 0
259 T 113 78 221 0 0
259 T 105 216 81 0 0
259 T 139 163 103 0 0
259 T 79 31 141 0 0
259 T 163 33 216 0 0
259 T 146 42 226 0 0
259 T 92 142 144 0 0
259 T 142 98 42 0 0
259 T 166 99 42 0 0
259 T 189 101 185 0 0
259 T 131 73 202 0 0
259 T 200 150 208 0 0
259 T 9 148 73 0 0
259 T 54 48 49 0 0
259 T 57 54 58 0 0
259 T 47 181 41 0 0
259 T 170 50 43 0 0
259 T 3 6 8 0 0
259 T 147 116 5 0 0
259 T 117 154 6 0 0
259 T 1 2 1 0 0
259 T 215 0 195 0 0
259 T 77 66 74 0 0
259 T 82 92 88 0 0
259 T 89 73 85 0 0
259 T 76 60 91 0 0
259 T 66 70 80 0 0
259 T 157 136 75 0 0
259 T 72 33 155 0 0
259 T 46 27 40 0 0
259 T 220 155 44 0 0
259 T 159 4 100 0 0
259 T 119 3 171 0 0
259 T 44 120 175 0 0
259 T 120 194 183 0 0
259 T 189 108 192 0 0
259 T 43 111 135 0 0
259 T 90 144 32 0 0
259 T 83 150 151 0 0
259 T 93 127 55 0 0
259 T 56 133 78 0 0
259 T 30 156 143 0 0
259 T 202 212 7 0 0
259 T 210 107 206 0 0
259 T 201 55 64 0 0
259 T 82 56 213 0 0
259 U 208 4 1 0 0
259 U 9 1 2 0 0
259 U 131 2 4 0 0
259 U 20 3 4 0 0
259 U 41 4 1 0 0
259 U 14 3 4 0 0
259 U 187 4 2 0 0
259 U 23 3 4 0 0
259 U 85 9 9 0 0
259 U 162 5 9 0 0
259 U 174 9 5 0 0
259 U 167 8 6 0 0
259 U 68 6 6 1 0
259 U 182 6 8 0 0
259 U 15 8 7 1 0
259 U 17 7 8 0 0
259 U 59 7 7 -1 0
259 U 25 10 9 0 0
259 U 191 13 11 0 0
259 U 11 14 13 0 0
259 U 43 11 14 0 0
259 U 129 14 12 0 0
259 U 204 11 14 0 0
259 U 10 12 11 0 0
259 U 21 13 14 0 0
259 U 23 13 14 0 0
259 Q 38 12 35 13 0 0 0 0 0 0
259 Q 184 0 186 37 0 0 0 0 -1 0
259 Q 112 8 98 0 -1 0 0 0 0 0
259 Q 0 126 0 126 0 0 0 0 0 0
259 Q 22 52 20 53 0 0 0 0 0 0
259 Q 2 29 2 29 0 0 0 0 0 0
259 Q 1 18 2 16 0 -1 0 0 0 0
259 Q 35 25 36 26 0 0 0 0 0 0
259 Q 69 51 69 51 0 0 0 0 0 0
259 Q 84 38 84 38 0 0 0 0 0 0
