26 A 5 0 0 2 0 -2
26 A -2 1 -9 -1 9 1
26 A 2 1 -9 1 9 -1
26 A -3 1 -3 -1 3 1
26 A 3 1 -3 1 3 -1
26 A 6 0 3 2 -3 -2
26 A -5 1 -6 -2 6 2
26 A 5 1 6 -2 -6 2
26 A 10 0 5 -2 -5 2
26 A 0 2 25 0 -25 0
26 A 5 0 0 1 0 1
26 A 11 0 0 5 0 5
26 A 4 0 1 -1 1 1
26 A 5 0 1 1 2 -2
26 A 5 0 2 2 1 -1
26 A 0 1 -7 0 -11 0
26 A -1 1 -8 0 -10 0
26 A 1 1 -8 0 -10 0
26 A -2 1 -7 0 11 1
26 A 2 1 -11 1 7 0
26 A -3 1 -10 -1 -5 -1
26 A 3 1 10 -1 5 -1
26 A 7 0 3 2 -3 2
26 A -7 1 9 1 7 1
26 A 7 1 -7 1 -9 1
26 S 2 1 5 0
26 S -1 2 5 0
26 S -2 1 5 0
26 S 1 2 5 0
26 T 0 76 75 0 0
26 T 24 39 32 0 0
26 T 1 57 54 1 1
26 T 71 69 71 1 0
26 T 29 59 41 0 0
26 T 42 55 29 0 0
26 T 47 37 31 0 0
26 T 45 69 51 0 0
26 U 23 1 1 0 0
26 U 1 1 1 0 0
26 U 2 2 3 0 0
26 U 9 3 2 0 0
26 U 45 3 3 0 0
26 U 15 3 2 0 0
26 U 19 2 3 0 0
26 U 3 4 5 0 0
26 U 51 4 4 0 0
26 U 6 5 4 0 0
26 U 16 5 4 0 0
26 U 15 4 5 -1 0
26 U 67 6 8 0 0
26 U 54 9 6 0 0
26 U 4 8 9 0 0
26 U 75 6 6 0 0
26 U 34 9 6 0 0
26 U 20 7 6 1 0
26 U 12 6 7 0 0
26 U 7 9 8 0 0
26 U 39 10 13 0 0
26 U 78 10 10 0 0
26 U 57 13 10 0 0
26 U 11 11 10 0 0
26 U 21 10 11 0 0
26 U 60 12 10 0 0
26 U 5 13 12 0 0
26 U 8 12 13 0 0
26 Q 26 22 27 23 0 0 0 0 0 0
26 Q 24 42 26 40 0 0 0 0 0 0
