283 A 7 0 3 1 -3 -1
283 A -3 1 31 1 -31 -1
283 A 2 1 -32 1 32 -1
283 A -5 1 22 1 -22 -1
283 A 4 1 -23 1 23 -1
283 A 14 0 -3 6 3 -6
283 A 9 0 4 1 4 1
283 A 4 0 1 1 -2 1
283 A 4 0 -1 1 0 -1
283 A 5 0 -3 2 -2 1
283 A 5 0 2 1 1 -2
283 A 5 0 -2 2 0 -2
283 A 5 0 1 2 1 1
283 A 5 0 -1 1 0 1
283 A 6 0 2 1 3 -1
283 A 6 0 -2 1 1 1
283 A 6 0 -1 1 0 -1
283 A 7 0 -4 3 -1 -3
283 A 7 0 -4 2 -1 -1
283 A 7 0 -3 3 0 -2
283 A 7 0 2 3 -1 2
283 A 7 0 2 2 2 -1
283 A 7 0 -2 2 0 -3
283 A 7 0 -1 1 0 1
283 A 8 0 -5 3 2 3
283 A 8 0 3 1 -4 3
283 A 8 0 -3 1 2 -3
283 A 8 0 -3 3 0 -3
283 A 8 0 2 1 1 -3
283 A 8 0 -2 1 1 1
283 A 8 0 1 3 -4 1
283 A 8 0 -1 1 0 -1
283 A -1 1 31 0 16 0
283 A -1 1 27 0 21 0
283 A 0 1 31 0 16 0
283 A 0 1 27 0 21 0
283 A -2 1 30 1 -16 0
283 A 1 1 16 0 -31 1
283 A -3 1 10 0 20 1
283 A -3 1 14 1 9 0
283 A -3 1 12 0 29 1
283 A 2 1 9 0 15 -1
283 A 2 1 -21 1 -10 0
283 A 2 1 -30 1 -12 0
283 A 9 0 -4 1 6 -4
283 A 9 0 3 1 -2 -4
283 A 9 0 -3 2 -1 -2
283 A 9 0 -1 2 2 -4
283 A -4 1 14 1 19 1
283 A -4 1 21 1 -10 0
283 A -4 1 11 1 11 0
283 A 3 1 -22 1 10 0
283 A 3 1 11 0 12 -1
283 A 3 1 -20 1 -15 1
283 A -5 1 28 2 -7 -1
283 A -5 1 30 2 20 1
283 A 4 1 -30 2 8 -1
283 A 4 1 -21 1 -32 2
283 A -6 1 6 1 30 2
283 A -6 1 18 2 25 2
283 A -6 1 16 2 12 1
283 A 5 1 -7 1 -32 2
283 A 5 1 -20 2 -27 2
283 A 5 1 -18 2 -13 1
283 A -10 1 15 3 -28 -4
283 A 9 1 -18 3 32 -4
283 S -3 1 7 0
283 S -2 3 7 0
283 S 1 2 7 0
283 S -3 2 7 0
283 S 2 1 7 0
283 S -1 3 7 0
283 T 16 3 244 0 0
283 T 246 101 80 0 0
283 T 101 5 165 0 0
283 T 66 230 173 0 0
283 T 171 202 76 0 0
283 T 78 84 64 0 0
283 T 64 72 75 0 0
283 T 69 90 79 0 0
283 T 89 87 89 0 0
283 T 84 200 230 0 0
283 T 197 96 34 0 0
283 T 32 40 36 0 0
283 T 34 48 44 0 0
283 T 47 49 47 0 0
283 T 37 40 45 0 0
283 T 38 219 195 0 0
283 T 219 42 96 0 0
283 T 25 223 218 0 0
283 T 257 254 23 0 0
283 T 17 6 231 0 0
283 T 233 109 68 0 0
283 T 109 4 148 0 0
283 T 207 190 49 0 0
283 T 180 28 209 0 0
283 T 190 27 179 0 0
283 T 28 26 27 0 0
283 T 23 25 23 1 0
283 T 55 54 51 0 0
283 T 59 62 58 0 0
283 T 196 55 204 0 0
283 T 206 51 9 0 0
283 T 198 9 54 0 0
283 T 97 103 107 0 0
283 T 121 114 122 0 0
283 T 107 113 101 0 0
283 T 92 94 92 1 0
283 T 115 93 95 0 0
283 T 103 102 116 0 0
283 T 150 138 95 0 0
283 T 138 6 103 0 0
283 T 233 246 8 0 0
283 T 7 3 6 0 0
283 T 176 240 66 0 0
283 T 77 192 178 0 0
283 T 240 194 72 0 0
283 T 40 135 86 0 0
283 T 29 125 83 0 0
283 T 225 186 27 0 0
283 T 186 12 125 0 0
283 T 128 42 74 0 0
283 T 194 108 130 0 0
283 T 42 110 242 0 0
283 T 144 152 177 0 0
283 T 171 160 139 0 0
283 T 62 70 237 0 0
283 T 250 50 235 0 0
283 T 248 80 61 0 0
283 T 28 133 74 0 0
283 T 72 139 207 0 0
283 T 139 131 182 0 0
283 T 175 21 173 0 0
283 T 21 193 202 0 0
283 T 208 78 46 0 0
283 T 78 189 32 0 0
283 T 29 217 183 0 0
283 T 185 14 134 0 0
283 T 213 117 40 0 0
283 T 117 165 128 0 0
283 T 144 188 85 0 0
283 T 125 181 146 0 0
283 T 1 2 1 0 0
283 T 114 153 159 0 0
283 T 204 213 35 0 0
283 T 43 115 206 0 0
283 T 235 26 250 0 0
283 T 159 227 46 0 0
283 T 38 102 161 0 0
283 T 102 39 227 0 0
283 T 169 54 38 0 0
283 T 51 156 36 0 0
283 T 156 57 167 0 0
283 T 152 33 239 0 0
283 T 146 65 33 0 0
283 T 129 4 105 0 0
283 T 136 102 199 0 0
283 T 202 117 5 0 0
