29 A 5 0 0 1 0 -1
29 A -1 1 -11 0 11 0
29 A 1 1 -11 0 11 0
29 A -2 1 -8 -1 8 1
29 A 2 1 -8 1 8 -1
29 A 6 0 3 -2 -3 2
29 A -4 1 11 2 -11 -2
29 A 4 1 -11 2 11 -2
29 A 10 0 5 -4 -5 4
29 A 0 2 28 1 -28 -1
29 A 4 0 0 -1 0 -1
29 A 4 0 2 1 2 1
29 A 5 0 0 2 0 2
29 A 5 0 -2 -1 -1 -2
29 A 5 0 2 -1 1 -2
29 A -1 1 -7 0 13 0
29 A 1 1 -7 0 13 0
29 A -3 1 -4 -1 8 1
29 A 3 1 8 -1 -4 1
29 A -4 1 -12 -1 -10 -1
29 A -4 1 -9 -2 4 1
29 A 4 1 -9 2 4 -1
29 A 4 1 -12 1 -10 1
29 A 7 0 2 -2 -2 -2
29 A -6 1 -15 -2 -6 -1
29 A 6 1 -15 2 -6 1
29 A 13 0 6 6 -6 6
29 S 1 1 5 0
29 S 2 2 5 0
29 S -1 1 5 0
29 S -2 2 5 0
29 T 50 24 46 0 0
29 T 24 43 39 0 0
29 T 0 61 65 0 0
29 T 33 2 52 0 0
29 T 48 3 35 0 0
29 T 31 35 28 1 0
29 T 11 70 12 0 0
29 T 82 84 82 1 0
29 U 23 1 1 -1 0
29 U 1 1 1 -1 0
29 U 56 2 2 0 0
29 U 3 3 2 0 0
29 U 6 2 3 0 0
29 U 14 3 2 1 0
29 U 12 2 3 0 0
29 U 3 4 5 0 0
29 U 67 4 4 0 0
29 U 8 5 4 0 0
29 U 10 5 4 0 0
29 U 14 4 5 0 0
29 U 4 6 7 0 0
29 U 40 9 6 0 0
29 U 77 7 9 0 0
29 U 33 8 6 0 0
29 U 19 9 8 0 0
29 U 63 9 6 0 0
29 U 6 8 9 0 0
29 U 20 9 8 1 0
29 U 4 10 11 0 0
29 U 78 12 10 0 0
29 U 43 11 12 0 0
29 U 59 13 10 0 0
29 U 21 12 13 0 0
29 U 37 12 10 0 0
29 U 9 13 12 0 0
29 U 17 12 13 0 0
29 Q 31 26 37 1 1 0 0 0 0 0
29 Q 40 1 42 26 0 1 0 0 0 -1
29 Q 22 83 23 82 -1 0 -1 0 0 0
29 Q 84 43 72 41 0 0 0 0 0 0
29 Q 26 11 27 12 1 0 0 0 1 0
