30 A 0 1 -11 0 11 0
30 A 0 2 19 0 -19 0
30 A 0 2 -11 0 11 0
30 A 0 2 -29 0 29 0
30 A 7 0 0 -2 0 -2
30 A 13 0 0 6 0 6
30 A 4 0 -1 -1 -1 1
30 A 5 0 -1 -1 1 -1
30 A 5 0 2 2 2 -2
30 A 5 0 2 1 2 -1
30 A 5 0 1 2 -1 2
30 A 0 1 -7 0 13 0
30 A -2 1 -7 -1 -13 -1
30 A 2 1 -13 1 -7 1
30 A -3 1 -4 -1 -8 -1
30 A 3 1 -8 1 -4 1
30 A 9 0 -4 -2 4 -2
30 S 0 1 5 0
30 S 0 2 5 0
30 T 54 2 50 0 0
30 T 25 33 30 0 0
30 T 60 58 60 1 0
30 T 32 21 56 0 0
30 T 52 20 33 0 0
30 T 1 44 46 1 0
30 T 27 35 26 0 0
30 T 3 5 3 -1 0
30 T 46 41 19 0 0
30 T 18 39 42 0 0
30 U 12 1 1 0 0
30 U 1 1 1 0 0
30 U 6 2 3 0 0
30 U 4 2 2 0 0
30 U 8 3 2 0 0
30 U 38 4 7 0 0
30 U 25 4 4 0 0
30 U 37 7 7 0 0
30 U 11 5 4 0 0
30 U 7 7 6 0 0
30 Q 0 11 0 10 0 0 0 0 0 0
30 Q 32 58 33 0 0 0 0 0 0 0
30 Q 16 13 17 12 0 0 0 0 0 0
30 Q 48 61 44 16 0 0 0 0 0 0
30 Q 1 28 3 29 0 0 1 0 0 0
30 Q 15 8 14 9 0 0 0 0 0 0
30 Q 40 17 38 15 0 0 0 0 0 0
