34 A 5 0 0 -1 0 1
34 A -1 1 -6 0 6 0
34 A 1 1 -6 0 6 0
34 A -6 1 -17 -2 17 2
34 A 6 1 17 -2 -17 2
34 A 10 0 5 -4 -5 4
34 A 0 2 -33 0 33 0
34 A 5 0 0 -2 0 -2
34 A 6 0 3 -1 3 -1
34 A 9 0 0 -2 0 -2
34 A 15 0 0 -7 0 -7
34 A 4 0 -1 -1 -1 1
34 A 5 0 -2 -1 -1 -2
34 A 5 0 2 -1 1 -2
34 A 0 1 -9 0 -15 0
34 A -1 1 -8 0 -13 0
34 A 1 1 -8 0 -13 0
34 A -2 1 -7 0 9 1
34 A -2 1 -9 0 15 1
34 A 2 1 -7 0 9 -1
34 A 2 1 -9 0 15 -1
34 A -3 1 -9 -1 15 1
34 A 3 1 9 -1 -15 1
34 A 7 0 -1 -3 -1 3
34 A -4 1 -5 -1 -7 -1
34 A -4 1 -11 -2 -13 -2
34 A 4 1 5 -1 7 -1
34 A 4 1 11 -2 13 -2
34 A 11 0 -5 -3 5 -3
34 S 1 1 5 0
34 S 2 2 5 0
34 S -1 1 5 0
34 S -2 2 5 0
34 T 41 7 62 0 0
34 T 64 56 25 -1 0
34 T 2 4 7 0 0
34 T 56 6 35 0 0
34 T 37 23 39 0 0
34 T 72 96 7 0 0
34 T 89 77 6 0 0
34 T 96 1 87 -1 -1
34 T 56 33 91 0 0
34 T 46 31 4 0 0
34 T 33 71 35 0 0
34 T 6 53 31 0 0
34 T 33 38 75 0 0
34 T 63 83 31 0 0
34 T 41 80 66 0 0
34 T 68 45 32 0 0
34 T 45 78 74 0 0
34 T 32 42 59 0 0
34 T 61 80 34 0 0
34 T 72 78 42 0 0
34 T 60 1 66 0 -1
34 T 1 15 16 1 1
34 T 98 100 98 -1 0
34 U 1 1 1 1 0
34 U 20 1 1 0 0
34 U 9 2 3 0 0
34 U 91 2 2 0 0
34 U 11 3 2 0 0
34 U 48 4 2 0 0
34 U 35 2 4 0 0
34 U 95 4 4 0 0
34 U 14 4 5 0 0
34 U 18 5 4 1 0
34 U 9 6 7 0 0
34 U 13 7 6 0 0
34 U 85 7 7 0 0
34 U 41 8 6 0 0
34 U 50 6 8 0 0
34 U 88 8 8 0 0
34 U 17 8 9 0 0
34 U 18 9 8 0 0
34 Q 2 23 2 23 0 0 0 0 0 0
34 Q 2 44 23 42 0 0 0 0 0 0
34 Q 0 8 26 9 0 0 0 0 0 0
34 Q 11 0 12 0 0 0 0 0 0 0
34 Q 26 83 0 92 0 0 0 0 0 0
34 Q 0 56 98 62 0 0 0 0 0 0
34 Q 31 27 30 100 0 0 0 0 0 0
34 Q 44 29 42 27 0 0 0 0 0 0
34 Q 100 69 29 59 0 0 0 0 0 0
34 Q 28 20 29 21 0 0 0 0 0 0
