38 A 6 0 3 2 -3 -2
38 A 6 0 3 1 -3 -1
38 A -1 1 14 0 -14 0
38 A 1 1 14 0 -14 0
38 A -2 1 11 1 -11 -1
38 A 2 1 -11 1 11 -1
38 A 7 0 0 3 0 -3
38 A 12 0 3 2 -3 -2
38 A 12 0 -3 2 3 -2
38 A 0 2 37 0 -37 0
38 A -2 2 13 1 -13 -1
38 A 2 2 -13 1 13 -1
38 A -4 2 13 0 -13 0
38 A 4 2 13 0 -13 0
38 A 11 0 0 3 0 3
38 A 17 0 0 8 0 8
38 A 4 0 1 1 1 -1
38 A 5 0 2 2 -2 2
38 A 5 0 2 1 -1 -2
38 A 5 0 -2 1 1 -2
38 A 5 0 1 1 1 -1
38 A 5 0 0 2 0 1
38 A 0 1 17 0 -9 0
38 A 0 1 11 0 -7 0
38 A -1 1 11 0 7 0
38 A 1 1 11 0 7 0
38 A -2 1 17 1 9 1
38 A 2 1 -9 1 -17 1
38 A -3 1 10 1 15 1
38 A -3 1 7 0 17 1
38 A 3 1 7 0 17 -1
38 A 3 1 -15 1 -10 1
38 A 7 0 -1 2 -1 -2
38 A -4 1 15 1 13 1
38 A 4 1 -13 1 -15 1
38 A -5 1 9 2 -5 -1
38 A -5 1 6 1 -13 -2
38 A -5 1 16 2 -12 -1
38 A 5 1 -6 1 13 -2
38 A 5 1 -16 2 12 -1
38 A 5 1 -5 1 9 -2
38 A -6 1 11 1 7 1
38 A 6 1 -11 1 -7 1
38 A -7 1 5 2 11 3
38 A -7 1 7 1 17 2
38 A -7 1 17 3 9 1
38 A 7 1 -9 1 -17 3
38 A 7 1 -17 2 -7 1
38 A 7 1 -11 3 -5 2
38 A -9 1 15 2 9 1
38 A 9 1 -15 2 -9 1
38 A 13 0 -6 3 6 3
38 A -8 2 11 2 9 2
38 A 8 2 -9 2 -11 2
38 S -2 1 6 0
38 S 2 1 6 0
38 T 103 69 64 0 0
38 T 86 3 101 0 0
38 T 66 124 84 0 0
38 T 3 126 69 0 0
38 T 3 57 65 0 0
38 T 67 74 103 0 0
38 T 84 72 57 0 0
38 T 75 55 39 0 0
38 T 37 59 131 0 0
38 T 129 50 73 0 0
38 T 50 57 55 0 0
38 T 40 42 40 1 0
38 T 47 40 49 0 0
38 T 54 59 44 0 0
38 T 36 65 141 0 0
38 T 138 67 37 0 0
38 T 133 0 113 0 0
38 T 31 174 115 0 0
38 T 28 133 171 0 0
38 T 174 0 169 0 0
38 T 51 96 38 0 0
38 T 143 116 49 0 0
38 T 116 67 96 0 0
38 T 109 72 161 0 0
38 T 163 116 10 0 0
38 T 116 74 2 0 0
38 T 70 59 99 0 0
38 T 39 55 68 0 0
38 T 148 70 104 0 0
38 T 4 135 150 0 0
38 T 135 14 70 0 0
38 T 125 138 47 0 0
38 T 45 167 9 0 0
38 T 8 150 127 0 0
38 T 150 165 138 0 0
38 T 168 68 185 0 0
38 T 6 44 88 0 0
38 T 90 83 170 0 0
38 T 83 152 68 0 0
38 T 27 154 44 0 0
38 T 40 91 95 0 0
38 T 85 39 47 0 0
38 T 164 40 145 0 0
38 T 179 177 179 -1 0
38 T 176 145 166 0 0
38 T 140 145 162 0 0
38 T 149 0 160 0 0
38 T 16 153 46 0 0
38 T 51 95 7 0 0
38 T 145 48 11 0 0
38 T 58 62 16 0 0
38 T 17 76 128 0 0
38 T 76 60 38 0 0
38 T 115 21 73 0 0
38 T 75 181 172 0 0
38 T 1 82 77 0 0
38 T 19 133 71 0 0
38 T 77 158 73 0 0
38 T 174 93 79 0 0
38 T 49 24 158 0 0
38 T 115 74 13 0 0
38 T 70 45 123 0 0
38 T 121 56 37 0 0
38 T 159 17 49 0 0
38 T 122 80 17 0 0
38 T 61 82 38 0 0
38 T 162 114 4 0 0
38 T 96 2 103 0 0
38 U 109 4 4 0 0
38 U 5 4 5 -1 0
38 U 13 5 4 0 0
38 U 2 5 4 0 0
38 U 10 4 5 0 0
38 U 20 6 7 0 0
38 U 30 7 6 0 0
38 U 183 6 6 0 0
38 U 25 6 7 0 0
38 U 7 7 6 -1 0
38 U 1 1 1 0 0
38 U 22 1 1 0 -1
38 U 27 9 8 0 0
38 U 186 8 8 0 0
38 U 6 8 9 0 0
38 U 19 9 8 0 0
38 U 29 8 9 0 0
38 U 3 3 2 0 0
38 U 9 2 3 0 0
38 U 104 3 3 0 0
38 U 15 3 2 0 0
38 U 4 2 3 0 0
38 Q 179 39 32 38 0 0 0 0 0 0
38 Q 32 67 0 65 0 0 0 0 0 0
38 Q 79 178 82 34 0 0 0 0 0 0
38 Q 22 35 23 34 0 0 0 0 0 0
38 Q 32 60 35 62 0 0 0 0 0 0
