41 A 5 0 0 2 0 -2
41 A 6 0 0 1 0 -1
41 A 6 0 3 2 -3 -2
41 A -1 1 13 0 -13 0
41 A 1 1 13 0 -13 0
41 A -2 1 17 1 -17 -1
41 A 2 1 -17 1 17 -1
41 A -4 1 16 1 -16 -1
41 A 4 1 -16 1 16 -1
41 A -6 1 16 3 -16 -3
41 A 6 1 -16 3 16 -3
41 A -7 1 12 1 -12 -1
41 A 7 1 -12 1 12 -1
41 A 10 0 5 2 -5 -2
41 A 12 0 3 2 -3 -2
41 A 12 0 -3 2 3 -2
41 A 0 2 -40 1 40 -1
41 A -2 2 13 0 -13 0
41 A 2 2 13 0 -13 0
41 A -8 2 16 1 -16 -1
41 A 8 2 -16 1 16 -1
41 A 4 0 0 1 0 1
41 A 4 0 2 1 2 1
41 A 5 0 0 1 0 1
41 A 8 0 4 3 4 3
41 A 5 0 2 2 1 -1
41 A 5 0 -2 2 -1 -1
41 A 0 1 17 0 12 0
41 A -1 1 19 0 11 0
41 A 1 1 19 0 11 0
41 A -2 1 11 1 -7 0
41 A -2 1 15 1 -8 0
41 A -2 1 14 1 12 1
41 A 2 1 7 0 -11 1
41 A 2 1 -15 1 8 0
41 A 2 1 -12 1 -14 1
41 A 7 0 -3 1 3 1
41 A 7 0 -2 3 1 -2
41 A 7 0 1 2 -2 -3
41 A -3 1 16 1 18 1
41 A -3 1 8 1 6 1
41 A 3 1 -16 1 -18 1
41 A 3 1 -8 1 -6 1
41 A -4 1 6 1 13 1
41 A 4 1 -6 1 -13 1
41 A -6 1 6 1 20 2
41 A 6 1 -20 2 -6 1
41 A -8 1 14 4 -8 -1
41 A 8 1 -8 1 14 -4
41 A 11 0 -4 4 4 4
41 A 11 0 -3 3 -2 -2
41 A 11 0 -2 2 -3 -3
41 A -10 1 5 2 22 4
41 A 10 1 -5 2 -22 4
41 A 13 0 3 3 -3 3
41 A -4 2 14 1 12 1
41 A 4 2 -14 1 -12 1
41 A 19 0 9 9 -9 9
41 S -2 1 5 0
41 S 1 2 5 0
41 S 1 1 6 0
41 S -1 1 6 0
41 S 2 1 5 0
41 S -1 2 5 0
41 T 60 51 54 0 0
41 T 135 0 138 0 0
41 T 140 6 58 0 0
41 T 56 7 137 0 0
41 T 32 130 77 0 0
41 T 75 13 131 0 0
41 T 38 145 140 0 0
41 T 137 149 41 0 0
41 T 145 0 149 0 0
41 T 82 78 74 0 0
41 T 2 132 78 0 0
41 T 58 143 179 0 0
41 T 153 18 21 0 0
41 T 56 45 165 0 0
41 T 25 164 54 0 0
41 T 98 87 76 0 0
41 T 97 153 84 0 0
41 T 91 97 87 0 0
41 T 88 161 176 0 0
41 T 34 127 86 0 0
41 T 127 44 161 0 0
41 T 61 130 103 0 0
41 T 105 2 121 0 0
41 T 180 76 157 0 0
41 T 155 133 43 0 0
41 T 122 48 117 0 0
41 T 48 27 28 0 0
41 T 98 100 98 -1 0
41 T 24 109 66 0 0
41 T 72 104 22 0 0
41 T 63 4 2 0 0
41 T 103 14 65 0 0
41 T 42 167 61 0 0
41 T 59 70 157 0 0
41 T 133 72 167 0 0
41 T 11 129 89 0 0
41 T 129 2 93 0 0
41 T 168 23 61 0 0
41 T 56 126 109 0 0
41 T 107 3 113 0 0
41 T 182 184 182 1 0
41 T 68 49 70 0 0
41 T 56 174 149 0 0
41 T 62 17 107 0 0
41 T 77 145 73 0 0
41 T 67 149 88 0 0
41 T 66 164 128 0 0
41 T 158 57 68 0 0
41 U 2 5 4 0 0
41 U 12 4 5 0 0
41 U 85 5 5 0 0
41 U 20 5 4 0 0
41 U 9 4 5 -1 0
41 U 56 7 8 0 0
41 U 90 8 7 0 0
41 U 113 8 8 0 0
41 U 116 7 7 0 0
41 U 30 6 7 1 0
41 U 29 7 6 0 0
41 U 16 8 9 0 0
41 U 5 9 8 0 0
41 U 7 11 10 0 0
41 U 39 10 11 0 0
41 U 181 11 11 0 0
41 U 42 11 10 0 0
41 U 32 10 11 0 0
41 U 36 1 1 0 0
41 U 1 1 1 -1 0
41 U 6 12 13 0 0
41 U 40 13 12 0 0
41 U 177 12 12 0 0
41 U 44 12 13 0 0
41 U 35 13 12 0 0
41 U 61 14 17 0 0
41 U 124 14 14 0 0
41 U 78 17 14 0 0
41 U 118 16 16 0 0
41 U 27 14 15 0 0
41 U 31 15 14 0 0
41 U 14 17 16 0 0
41 U 4 16 17 0 0
41 U 3 3 2 0 0
41 U 11 2 3 0 0
41 U 95 3 3 0 0
41 U 18 3 2 0 0
41 U 8 2 3 0 0
41 Q 172 46 172 46 0 0 0 0 0 0
41 Q 46 71 1 69 0 0 0 0 0 0
41 Q 67 184 73 170 0 0 0 0 0 0
41 Q 182 1 182 1 0 0 0 0 0 0
41 Q 20 52 18 53 0 0 1 0 -1 0
41 Q 53 151 53 151 1 0 -1 0 0 0
41 Q 172 117 100 122 0 0 0 0 0 0
41 Q 59 153 57 170 0 0 0 0 0 0
41 Q 1 23 1 25 0 0 0 1 0 1
41 Q 1 104 47 109 0 0 0 0 0 0
41 Q 59 53 57 46 0 0 0 0 1 0
41 Q 0 98 0 98 0 0 0 0 0 0
41 Q 62 1 64 47 0 1 0 0 0 -1
41 Q 15 1 17 1 0 0 0 -1 0 0
41 Q 36 182 37 183 0 0 0 0 1 0
41 Q 46 50 46 50 0 0 0 0 0 0
