42 A 0 1 13 0 -13 0
42 A 0 2 13 0 -13 0
42 A 0 2 29 0 -29 0
42 A 0 2 -41 0 41 0
42 A 0 4 29 0 -29 0
42 A 11 0 0 -4 0 -4
42 A 13 0 0 3 0 3
42 A 19 0 0 -9 0 -9
42 A 4 0 1 -1 1 1
42 A 5 0 -1 -2 -1 2
42 A 5 0 2 1 -2 1
42 A 5 0 -1 -1 2 -2
42 A 5 0 2 2 -1 1
42 A 5 0 0 1 0 -2
42 A 6 0 1 -1 -1 -1
42 A 0 1 11 0 19 0
42 A -1 1 12 0 -18 0
42 A 1 1 -12 0 18 0
42 A -2 1 -11 0 19 1
42 A -2 1 -7 0 -11 -1
42 A 2 1 -11 1 -7 0
42 A 2 1 -19 1 11 0
42 A 7 0 -2 3 -3 -1
42 A 7 0 1 3 -1 3
42 A 7 0 1 -2 -1 -2
42 A 7 0 3 -1 2 3
42 A -3 1 -8 0 -16 -1
42 A 3 1 16 -1 8 0
42 A -4 1 5 1 -9 -1
42 A 4 1 -5 1 9 -1
42 A 11 0 0 3 0 -2
42 A 15 0 -7 -4 7 -4
42 S 0 1 6 0
42 T 79 85 91 0 0
42 T 47 72 66 0 0
42 T 4 2 4 -1 0
42 T 68 58 81 0 0
42 T 93 57 72 0 0
42 T 1 65 74 1 0
42 T 116 114 116 1 0
42 T 59 86 56 0 0
42 T 31 33 31 -1 0
42 T 40 32 37 0 0
42 T 94 101 2 1 0
42 T 29 44 38 0 0
42 T 35 42 28 0 0
42 T 94 81 27 0 0
42 T 26 93 99 0 0
42 T 43 108 96 0 0
42 T 101 103 45 0 0
42 T 53 74 24 0 0
42 T 25 63 51 0 0
42 T 22 69 109 0 0
42 T 102 73 23 0 0
42 T 37 61 24 0 0
42 T 40 23 56 0 0
42 T 37 78 109 0 0
42 T 103 91 41 0 0
42 T 111 50 42 0 0
42 U 12 1 1 0 0
42 U 1 1 1 0 0
42 U 11 2 3 0 0
42 U 4 2 2 0 0
42 U 6 3 2 0 0
42 U 49 4 4 0 0
42 U 8 5 4 0 0
42 U 14 5 4 0 0
42 Q 0 93 1 81 -1 -1 0 0 0 0
42 Q 0 8 0 9 0 0 0 0 0 0
42 Q 68 2 72 0 0 0 0 0 0 0
42 Q 57 1 58 2 0 1 0 0 -1 -1
42 Q 21 13 20 12 0 0 0 0 0 0
42 Q 76 114 65 21 0 0 0 0 0 0
42 Q 3 86 3 86 0 0 0 0 0 0
42 Q 84 63 33 74 0 0 0 0 0 0
42 Q 4 35 47 38 0 0 0 0 0 0
42 Q 87 6 86 7 0 0 0 0 0 0
42 Q 10 16 11 17 0 0 0 0 0 0
42 Q 17 101 30 96 0 0 0 0 0 0
42 Q 83 42 47 44 0 0 0 0 0 0
42 Q 87 112 48 110 0 0 0 0 0 0
42 Q 112 15 111 7 0 0 0 0 0 0
42 Q 103 30 108 19 0 0 0 0 0 0
42 Q 22 114 23 18 0 0 0 0 0 0
42 Q 18 53 21 51 0 0 0 0 0 0
42 Q 114 73 31 69 0 0 0 0 0 0
42 Q 88 52 85 50 0 0 0 0 0 0
