46 A 5 0 0 2 0 -2
46 A -3 1 18 1 -18 -1
46 A 3 1 -18 1 18 -1
46 A 10 0 5 2 -5 -2
46 A -8 1 5 2 -5 -2
46 A 8 1 -5 2 5 -2
46 A 0 2 45 0 -45 0
46 A 5 0 0 1 0 1
46 A 6 0 3 1 3 1
46 A 7 0 0 3 0 3
46 A 15 0 0 4 0 4
46 A 21 0 0 10 0 10
46 A 4 0 1 1 1 -1
46 A 5 0 2 2 1 -1
46 A 5 0 -2 2 -1 -1
46 A 6 0 1 1 1 -1
46 A 0 1 21 0 -11 0
46 A 0 1 13 0 7 0
46 A -1 1 20 0 7 0
46 A -1 1 18 0 13 0
46 A 1 1 20 0 7 0
46 A 1 1 18 0 13 0
46 A 7 0 3 2 1 -3
46 A 7 0 3 1 3 -1
46 A 7 0 -3 2 -1 -3
46 A 7 0 2 3 1 2
46 A 7 0 2 2 2 -2
46 A 7 0 2 1 -2 1
46 A 7 0 -2 3 -1 2
46 A -2 1 21 1 11 1
46 A -2 1 19 1 17 1
46 A -2 1 11 0 9 0
46 A 2 1 11 0 9 0
46 A 2 1 -11 1 -21 1
46 A 2 1 -17 1 -19 1
46 A -3 1 20 1 -9 -1
46 A 3 1 -20 1 9 -1
46 A -4 1 7 1 -13 -1
46 A -4 1 19 2 -19 -1
46 A 4 1 -13 1 7 -1
46 A 4 1 -19 1 19 -2
46 A -5 1 17 2 16 1
46 A -5 1 21 2 11 1
46 A 5 1 -17 2 -16 1
46 A 5 1 -11 1 -21 2
46 A 9 0 1 4 1 -4
46 A 17 0 8 4 -8 4
46 S 2 1 5 0
46 S -1 2 5 0
46 S -2 1 5 0
46 S 1 2 5 0
46 T 74 136 63 0 0
46 T 90 99 72 0 0
46 T 89 87 80 0 0
46 T 94 79 76 0 0
46 T 27 74 82 0 0
46 T 61 4 88 0 0
46 T 99 6 136 0 0
46 T 101 49 35 0 0
46 T 49 118 34 0 0
46 T 35 126 87 0 0
46 T 85 123 62 0 0
46 T 60 37 33 0 0
46 T 39 133 85 0 0
46 T 113 35 133 0 0
46 T 46 66 43 0 0
46 T 39 22 41 0 0
46 T 37 56 47 0 0
46 T 66 95 56 0 0
46 T 147 1 139 0 0
46 T 145 6 84 0 0
46 T 7 2 6 0 0
46 T 49 167 154 0 0
46 T 51 161 164 0 0
46 T 24 111 115 0 0
46 T 18 24 16 0 0
46 T 168 170 168 1 0
46 T 98 140 40 0 0
46 T 67 55 96 0 0
46 T 55 47 140 0 0
46 T 82 123 7 0 0
46 T 153 147 43 0 0
46 T 37 139 160 0 0
46 T 108 33 142 0 0
46 T 1 118 101 0 0
46 T 80 158 9 0 0
46 T 74 9 151 0 0
46 T 149 2 158 0 0
46 T 160 35 75 0 0
46 T 80 71 146 0 0
46 T 89 5 71 0 0
46 T 129 97 32 0 0
46 T 150 5 13 0 0
46 T 11 4 157 0 0
46 T 87 52 56 0 0
46 T 45 54 133 0 0
46 T 72 4 104 0 0
46 T 34 70 43 0 0
46 T 106 68 97 0 0
46 T 153 83 32 0 0
46 T 83 164 102 0 0
46 T 165 119 75 0 0
46 U 111 2 2 0 0
46 U 19 3 2 0 0
46 U 14 2 3 0 0
46 U 43 2 5 0 0
46 U 129 5 2 0 0
46 U 106 5 5 0 0
46 U 9 5 4 0 0
46 U 12 4 5 0 0
46 U 1 1 1 0 0
46 U 20 1 1 0 -1
46 U 38 7 8 0 0
46 U 112 7 7 0 0
46 U 125 8 7 0 0
46 U 16 7 6 0 0
46 U 14 6 7 1 0
46 U 8 8 9 0 0
46 U 120 8 8 0 0
46 U 10 9 8 0 0
46 Q 33 29 32 170 0 0 0 0 0 0
46 Q 168 118 30 103 0 0 0 0 0 0
46 Q 49 30 51 29 0 0 0 0 0 0
46 Q 23 49 26 51 0 0 0 0 0 0
46 Q 0 92 0 92 0 0 0 0 0 0
46 Q 57 1 67 0 1 0 0 0 0 0
46 Q 114 93 108 171 0 0 0 0 0 0
46 Q 78 0 79 24 0 0 0 0 0 0
46 Q 140 28 132 93 0 0 0 0 0 0
46 Q 0 52 3 54 0 0 0 0 0 0
46 Q 29 54 23 52 0 0 0 0 0 0
46 Q 31 21 30 20 0 0 0 0 0 0
