53 A 6 0 0 1 0 -1
53 A 6 0 3 2 -3 -2
53 A -2 1 18 1 -18 -1
53 A 2 1 -18 1 18 -1
53 A -5 1 15 2 -15 -2
53 A 5 1 -15 2 15 -2
53 A -8 1 21 4 -21 -4
53 A 8 1 -21 4 21 -4
53 A 12 0 3 2 -3 -2
53 A 12 0 -3 2 3 -2
53 A 0 2 -52 1 52 -1
53 A -4 2 18 1 -18 -1
53 A 4 2 -18 1 18 -1
53 A -10 2 15 2 -15 -2
53 A 10 2 -15 2 15 -2
53 A 18 0 9 8 -9 -8
53 A 4 0 0 1 0 1
53 A 4 0 2 1 2 1
53 A 7 0 0 3 0 3
53 A 5 0 2 2 -2 2
53 A 5 0 2 1 -1 -2
53 A 5 0 -2 1 1 -2
53 A 5 0 1 1 1 -1
53 A 5 0 0 2 0 1
53 A 7 0 3 3 -1 1
53 A 7 0 3 2 1 -3
53 A 7 0 3 1 3 -1
53 A 7 0 -3 2 -1 -3
53 A 7 0 -3 3 1 1
53 A 7 0 2 3 1 2
53 A 7 0 2 2 2 -2
53 A 7 0 2 1 -2 1
53 A 7 0 -2 3 -1 2
53 A 7 0 0 2 0 1
53 A 0 1 20 0 -8 0
53 A -1 1 25 0 -13 0
53 A -1 1 19 0 17 0
53 A 1 1 25 0 -13 0
53 A 1 1 19 0 17 0
53 A -2 1 15 1 10 0
53 A 2 1 -15 1 -10 0
53 A -3 1 8 1 -14 -1
53 A -3 1 24 1 -20 -1
53 A 3 1 -8 1 14 -1
53 A 3 1 -20 1 24 -1
53 A 8 0 2 3 -2 3
53 A 8 0 4 3 -4 -1
53 A -4 1 7 1 21 1
53 A 4 1 -21 1 -7 1
53 A -5 1 12 1 -18 -1
53 A 5 1 -12 1 18 -1
53 A 9 0 -3 2 -3 4
53 A 9 0 3 2 3 4
53 A -6 1 21 3 -10 -1
53 A 6 1 -21 3 10 -1
53 A 10 0 2 3 -2 3
53 A -8 1 13 3 -11 -1
53 A 8 1 -11 1 13 -3
53 A 11 0 5 5 -2 2
53 A 11 0 -5 5 2 2
53 A 11 0 4 4 3 -3
53 A 11 0 -4 4 -3 -3
53 A 13 0 -6 2 6 2
53 A -2 2 19 0 17 0
53 A 2 2 19 0 17 0
53 A 3 2 18 0 23 -1
53 A -3 2 23 1 18 0
53 A 9 2 -19 1 43 -5
53 A -9 2 43 5 -19 -1
53 A 19 0 -5 5 5 5
53 A 25 0 12 12 -12 12
53 S -1 1 6 0
53 S 1 1 6 0
53 T 174 46 135 0 0
53 T 137 59 182 0 0
53 T 184 56 176 0 0
53 T 56 61 46 0 0
53 T 53 44 47 0 0
53 T 45 43 45 1 0
53 T 59 52 55 0 0
53 T 84 141 49 0 0
53 T 51 130 94 0 0
53 T 141 36 130 0 0
53 T 208 133 157 0 0
53 T 155 128 111 0 0
53 T 113 86 206 0 0
53 T 86 126 133 0 0
53 T 118 159 122 0 0
53 T 124 193 12 0 0
53 T 193 161 6 0 0
53 T 212 140 158 0 0
53 T 163 36 168 0 0
53 T 58 77 166 0 0
53 T 165 67 60 0 0
53 T 77 40 67 0 0
53 T 62 82 100 0 0
53 T 94 78 98 0 0
53 T 96 89 69 0 0
53 T 73 92 72 0 0
53 T 77 82 88 0 0
53 T 65 93 79 0 0
53 T 223 200 64 0 0
53 T 62 237 31 0 0
53 T 23 235 200 0 0
53 T 162 55 126 0 0
53 T 128 50 66 0 0
53 T 14 197 127 0 0
53 T 7 156 197 0 0
53 T 202 17 180 0 0
53 T 29 181 204 0 0
53 T 128 22 197 0 0
53 T 125 138 89 0 0
53 T 87 212 121 0 0
53 T 241 21 202 0 0
53 T 117 230 239 0 0
53 T 204 54 115 0 0
53 T 230 56 21 0 0
53 T 247 249 247 -1 0
53 T 109 37 115 0 0
53 T 216 214 216 1 0
53 T 93 154 161 0 0
53 T 195 93 191 0 0
53 T 234 227 106 0 0
53 T 108 54 199 0 0
53 T 54 229 23 0 0
53 T 95 144 3 0 0
53 T 2 136 85 0 0
53 T 220 81 205 0 0
53 T 81 5 178 0 0
53 T 70 160 152 0 0
53 T 155 73 150 0 0
53 T 62 34 234 0 0
53 T 26 201 185 0 0
53 T 183 63 4 0 0
53 T 190 122 20 0 0
53 T 166 57 122 0 0
53 T 49 77 124 0 0
53 T 4 60 105 0 0
53 T 103 142 81 0 0
53 T 178 144 60 0 0
53 T 93 235 241 0 0
53 T 81 241 35 0 0
53 T 63 134 105 0 0
53 T 103 2 101 0 0
53 T 238 79 32 0 0
53 T 178 173 54 0 0
53 T 173 16 117 0 0
53 T 170 50 145 0 0
53 T 19 177 107 0 0
53 T 200 185 18 0 0
53 U 2 2 3 0 0
53 U 112 3 3 0 0
53 U 11 3 2 0 0
53 U 15 3 2 0 0
53 U 6 2 3 0 0
53 U 5 7 6 0 0
53 U 225 6 6 0 0
53 U 27 6 7 0 0
53 U 31 6 7 0 0
53 U 23 7 6 0 0
53 U 24 1 1 0 0
53 U 1 1 1 -1 0
53 U 4 8 9 0 0
53 U 220 9 9 0 0
53 U 29 9 8 0 0
53 U 33 9 8 0 0
53 U 20 8 9 0 0
53 U 3 4 5 0 0
53 U 121 5 5 0 0
53 U 9 5 4 0 0
53 U 13 5 4 0 0
53 U 7 4 5 -1 0
53 Q 42 152 0 150 0 0 -1 0 0 0
53 Q 52 147 46 38 0 0 -1 0 0 0
53 Q 149 43 149 43 0 0 0 0 0 0
53 Q 160 214 157 44 0 0 0 0 0 0
53 Q 42 208 245 210 0 0 0 0 0 0
53 Q 140 243 131 216 0 0 0 0 0 0
53 Q 98 36 100 0 0 0 0 0 0 0
53 Q 0 78 42 64 0 0 0 0 0 0
53 Q 248 117 245 107 0 0 0 0 0 0
53 Q 38 114 1 108 0 -1 0 0 1 0
53 Q 242 38 242 38 0 0 0 0 -1 0
53 Q 1 247 1 247 0 -1 0 1 0 1
53 Q 148 121 186 111 0 0 0 0 0 0
53 Q 11 149 9 146 0 0 0 0 0 0
53 Q 147 2 188 3 0 0 0 0 0 0
53 Q 187 83 1 97 0 -1 0 0 0 0
53 Q 144 1 136 148 0 1 0 0 0 -1
53 Q 1 40 1 40 0 0 0 0 0 0
53 Q 67 39 77 1 -1 0 0 0 0 0
53 Q 249 24 248 25 0 0 0 0 1 0
