55 A 4 0 -1 2 1 -2
55 A -2 1 5 1 -5 -1
55 A 1 1 6 -1 -6 1
55 A -3 1 6 1 -6 -1
55 A 2 1 -7 1 7 -1
55 A -1 2 6 1 -6 -1
55 A -7 1 -1 -2 1 2
55 A 6 1 3 -2 -3 2
55 A 5 0 -2 2 0 2
55 A -4 1 -7 -1 -3 -1
55 A 3 1 -8 1 -4 1
55 A -5 1 -4 -1 -5 -2
55 A 4 1 -7 2 -5 1
55 S -4 0 1 1
55 S 1 1 4 0
55 T 0 29 33 0 0
55 T 31 10 1 0 0
55 T 2 11 29 0 0
55 T 3 16 35 0 0
55 T 37 39 0 0 0
55 T 39 14 4 0 0
55 T 26 13 16 0 0
55 T 37 4 22 0 0
55 T 20 3 41 0 0
55 T 3 6 4 1 0
55 T 27 5 33 0 0
55 U 12 1 1 0 0
55 U 13 1 1 0 -1
55 U 7 1 1 0 0
55 U 16 2 2 0 0
55 U 10 2 2 -1 1
55 U 7 2 2 -1 1
55 U 0 3 5 0 0
55 U 17 6 3 1 0
55 U 5 5 3 0 0
55 U 20 4 3 0 0
55 U 22 5 6 0 0
