61 A 5 0 0 2 0 -2
61 A 7 0 0 2 0 -2
61 A -2 1 14 0 -14 0
61 A 2 1 14 0 -14 0
61 A -3 1 26 1 -26 -1
61 A 3 1 -26 1 26 -1
61 A -4 1 26 2 -26 -2
61 A 4 1 -26 2 26 -2
61 A 10 0 5 2 -5 -2
61 A 14 0 7 2 -7 -2
61 A 0 2 -60 1 60 -1
61 A 4 0 0 1 0 1
61 A 4 0 2 1 2 1
61 A 5 0 0 1 0 1
61 A 6 0 0 1 0 1
61 A 5 0 2 2 1 -1
61 A 5 0 -2 2 -1 -1
61 A 6 0 2 1 2 -1
61 A 7 0 3 3 -2 2
61 A 7 0 3 2 -3 2
61 A 7 0 -3 3 2 2
61 A 7 0 2 1 -1 -3
61 A 7 0 -2 1 1 -3
61 A 7 0 1 1 1 -1
61 A 7 0 0 3 0 1
61 A 0 1 23 0 -8 0
61 A -1 1 29 0 -15 0
61 A -1 1 27 0 -23 0
61 A -1 1 17 0 -11 0
61 A 1 1 29 0 -15 0
61 A 1 1 27 0 -23 0
61 A 1 1 17 0 -11 0
61 A 8 0 2 3 -2 3
61 A 8 0 2 1 -2 1
61 A 8 0 4 3 -4 -1
61 A -2 1 25 1 12 0
61 A 2 1 -25 1 -12 0
61 A -3 1 11 0 16 1
61 A -3 1 10 1 -24 -1
61 A -3 1 9 0 28 1
61 A 3 1 11 0 16 -1
61 A 3 1 -10 1 24 -1
61 A 3 1 -28 1 -9 0
61 A -4 1 6 1 19 1
61 A -4 1 13 1 9 0
61 A -4 1 24 2 8 1
61 A 4 1 -6 1 -19 1
61 A 4 1 9 0 13 -1
61 A 4 1 -8 1 -24 2
61 A 9 0 4 4 -2 2
61 A 9 0 -4 4 2 2
61 A 9 0 3 2 -3 2
61 A -5 1 23 2 8 1
61 A 5 1 -8 1 -23 2
61 A -7 1 22 3 16 1
61 A 7 1 -22 3 -16 1
61 A 11 0 -5 5 -5 -5
61 A 11 0 -4 5 4 5
61 A -10 1 17 3 -14 -1
61 A 10 1 -14 1 17 -3
61 A 13 0 -2 2 2 2
61 A 17 0 8 3 -8 3
61 A 23 0 -6 6 6 6
61 A 29 0 14 14 -14 14
61 S 3 1 7 0
61 S 2 3 7 0
61 S -1 2 7 0
61 S -2 1 5 0
61 S 1 2 5 0
61 S 2 1 5 0
61 S -1 2 5 0
61 S -3 1 7 0
61 S -2 3 7 0
61 S 1 2 7 0
61 T 59 43 90 0 0
61 T 92 46 140 0 0
61 T 160 48 43 0 0
61 T 3 210 216 0 0
61 T 129 30 139 0 0
61 T 166 149 181 0 0
61 T 175 136 154 0 0
61 T 168 44 116 0 0
61 T 44 35 38 0 0
61 T 40 154 114 0 0
61 T 154 35 166 0 0
61 T 4 153 115 0 0
61 T 164 7 117 0 0
61 T 153 2 162 0 0
61 T 7 2 6 0 0
61 T 191 63 9 0 0
61 T 8 74 78 0 0
61 T 80 73 193 0 0
61 T 73 76 63 0 0
61 T 75 68 71 0 0
61 T 55 57 55 -1 0
61 T 52 56 58 0 0
61 T 146 99 117 0 0
61 T 99 58 6 0 0
61 T 223 225 223 -1 0
61 T 109 144 133 0 0
61 T 177 185 179 0 0
61 T 42 100 181 0 0
61 T 175 86 40 0 0
61 T 100 108 86 0 0
61 T 135 117 87 0 0
61 T 89 5 50 0 0
61 T 73 189 81 0 0
61 T 68 9 189 0 0
61 T 104 41 53 0 0
61 T 126 47 102 0 0
61 T 41 49 173 0 0
61 T 178 202 84 0 0
61 T 94 203 176 0 0
61 T 209 204 203 0 0
61 T 184 15 13 0 0
61 T 46 62 125 0 0
61 T 121 46 69 0 0
61 T 194 109 201 0 0
61 T 192 132 46 0 0
61 T 47 143 189 0 0
61 T 233 231 233 1 0
61 T 84 30 94 0 0
61 U 11 7 6 0 0
61 U 212 2 7 0 0
61 U 129 6 2 0 0
61 U 173 5 3 0 0
61 U 63 3 4 0 0
61 U 17 4 5 0 0
61 U 27 3 2 0 0
61 U 165 7 3 0 0
61 U 52 6 4 0 0
61 U 137 4 2 0 0
61 U 23 5 4 0 0
61 U 132 10 9 0 0
61 U 25 9 8 -1 0
61 U 200 8 10 0 0
61 U 17 10 11 0 0
61 U 124 8 10 0 0
61 U 39 11 8 0 0
61 U 15 8 9 0 0
61 U 8 10 11 0 0
61 U 28 1 1 0 0
61 U 1 1 1 -1 0
61 U 9 15 14 0 0
61 U 142 12 15 0 0
61 U 119 14 12 0 0
61 U 19 15 14 0 0
61 U 42 14 13 0 0
61 U 12 13 12 0 0
61 U 194 15 13 0 0
61 U 24 12 13 0 0
61 U 21 18 19 0 0
61 U 68 19 16 0 0
61 U 148 16 18 0 0
61 U 59 19 21 0 0
61 U 160 17 19 0 0
61 U 140 21 17 0 0
61 U 150 17 21 0 0
61 U 18 18 19 0 0
61 U 215 17 20 0 0
