71 A 4 0 1 2 -1 -2
71 A -2 1 7 1 -7 -1
71 A 1 1 8 -1 -8 1
71 A -3 1 2 1 -2 -1
71 A -3 1 8 1 -8 -1
71 A -3 1 -4 -1 4 1
71 A 2 1 -5 1 5 -1
71 A 2 1 -3 1 3 -1
71 A 2 1 -9 1 9 -1
71 A 6 0 -1 2 1 -2
71 A -6 1 5 2 -5 -2
71 A 5 1 -7 2 7 -2
71 A 8 0 1 2 -1 -2
71 A 8 0 3 -2 -3 2
71 A 8 0 3 2 -3 -2
71 A 5 0 -1 2 -1 2
71 A -1 1 5 0 7 0
71 A 0 1 5 0 7 0
71 A -4 1 -3 -1 5 2
71 A 3 1 7 -2 -4 1
71 A -5 1 -7 -2 4 1
71 A 4 1 -5 1 9 -2
71 A -6 1 -5 -1 -7 -1
71 A 5 1 -8 1 -6 1
71 S -2 1 4 0
71 S 1 1 4 0
71 T 47 45 0 -1 0
71 T 57 34 54 0 0
71 T 35 28 47 0 0
71 T 44 29 42 0 0
71 T 50 35 8 0 0
71 T 11 37 51 0 0
71 T 6 42 45 0 0
71 T 55 40 20 0 0
71 T 23 34 25 0 0
71 U 7 1 1 0 -1
71 U 12 1 1 0 0
71 U 3 1 1 0 0
71 U 6 2 2 -1 1
71 U 4 2 2 -1 0
71 U 20 2 2 0 0
71 U 38 3 3 0 0
71 U 2 4 3 0 0
71 U 15 3 4 0 0
71 U 22 4 3 0 0
71 U 25 3 4 0 0
71 U 1 5 6 1 0
71 U 40 5 5 0 0
71 U 14 6 5 0 0
71 U 23 6 5 0 0
71 U 21 5 6 0 0
71 U 30 7 8 0 0
71 U 63 7 7 0 0
71 U 14 8 7 0 0
71 U 9 8 7 0 0
71 U 31 7 8 1 0
71 U 27 9 10 0 0
71 U 16 10 9 0 0
71 U 60 10 10 0 0
71 U 32 10 9 0 0
71 U 17 9 10 0 0
