79 A 4 0 -1 2 1 -2
79 A -1 1 9 0 -9 0
79 A 0 1 9 0 -9 0
79 A 5 0 -1 2 1 -2
79 A -4 1 7 2 -7 -2
79 A 3 1 -9 2 9 -2
79 A -5 1 -6 -1 6 1
79 A -5 1 -4 -1 4 1
79 A 4 1 -5 1 5 -1
79 A 4 1 7 -1 -7 1
79 A 8 0 3 2 -3 -2
79 A 8 0 1 2 -1 -2
79 A 8 0 3 -2 -3 2
79 A 8 0 -1 2 1 -2
79 A 5 0 2 1 2 1
79 A 7 0 5 -3 5 -3
79 A -2 1 -7 -1 5 0
79 A 1 1 5 0 -8 1
79 A -3 1 -8 -1 -4 -1
79 A 2 1 -5 1 -9 1
79 A -4 1 3 1 5 1
79 A 3 1 6 -1 4 -1
79 A -6 1 7 1 5 3
79 A 5 1 -8 3 -8 1
79 S 0 1 4 0
79 S -1 1 4 0
79 T 60 58 0 0 0
79 T 40 46 35 1 0
79 T 2 52 13 0 0
79 T 14 48 1 0 0
79 T 49 26 1 0 0
79 T 1 19 54 0 0
79 T 42 29 54 0 0
79 T 49 32 45 0 0
79 T 5 69 64 1 0
79 T 9 46 47 0 0
79 T 69 44 17 0 0
79 T 52 41 11 0 0
79 T 16 39 65 0 0
79 T 69 27 45 -1 0
79 T 42 27 65 0 0
79 T 46 37 42 -1 0
79 U 10 1 1 0 0
79 U 8 1 1 0 -1
79 U 18 1 1 0 -1
79 U 11 2 2 0 0
79 U 16 2 2 -1 1
79 U 7 2 2 -1 1
79 U 33 3 4 0 0
79 U 62 3 3 0 0
79 U 22 4 3 0 0
79 U 20 4 3 0 0
79 U 29 3 4 0 0
79 U 58 5 5 0 0
79 U 34 6 5 0 0
79 U 23 5 6 0 0
79 U 31 6 5 0 0
79 U 26 5 6 0 0
