87 A 4 0 -1 2 1 -2
87 A -2 1 5 0 -5 0
87 A -2 1 -7 0 7 0
87 A -2 1 9 1 -9 -1
87 A 1 1 5 0 -5 0
87 A 1 1 -10 1 10 -1
87 A 1 1 -7 0 7 0
87 A -3 1 10 1 -10 -1
87 A 2 1 -11 1 11 -1
87 A 8 0 3 2 -3 -2
87 A 8 0 1 2 -1 -2
87 A 8 0 3 -2 -3 2
87 A -1 2 15 1 -15 -1
87 A -1 1 9 0 -5 0
87 A 0 1 5 0 -9 0
87 A 5 0 1 2 -3 2
87 A 5 0 2 1 -1 2
87 A -4 1 5 1 7 2
87 A 3 1 -9 2 -6 1
87 A -5 1 -9 -2 -6 -1
87 A 4 1 7 -1 11 -2
87 A -7 1 1 2 3 2
87 A 6 1 5 -2 3 -2
87 S -2 1 4 0
87 S 1 1 4 0
87 T 38 42 33 0 0
87 T 51 39 48 0 0
87 T 39 41 39 1 0
87 T 70 43 57 0 0
87 T 62 45 66 0 0
87 T 19 31 55 0 0
87 T 53 33 15 0 0
87 T 59 35 22 0 0
87 T 12 37 49 0 0
87 T 31 56 25 0 0
87 T 28 60 35 0 0
87 U 15 1 1 0 0
87 U 19 1 1 0 -1
87 U 5 1 1 0 0
87 U 22 2 2 0 0
87 U 12 2 2 -1 1
87 U 5 2 2 -1 1
87 U 9 3 4 0 0
87 U 3 3 3 -1 0
87 U 18 4 3 1 0
87 U 29 4 3 1 0
87 U 66 5 5 0 0
87 U 27 6 5 0 0
87 U 14 5 6 0 0
87 U 24 6 5 -1 0
87 U 17 5 6 0 0
87 U 23 7 8 0 0
87 U 68 7 7 0 0
87 U 10 8 7 0 0
87 U 7 8 7 0 0
87 U 25 7 8 0 0
87 Q 0 38 2 33 0 0 0 0 0 0
87 Q 7 0 14 0 0 0 0 0 0 0
87 Q 41 29 42 30 1 0 1 0 0 0
