91 A 5 0 2 1 -2 -1
91 A -1 2 -19 1 19 -1
91 A 5 0 -1 2 -1 2
91 A 4 0 1 1 -2 1
91 A 4 0 -1 1 0 -1
91 A -1 1 9 0 5 0
91 A 0 1 9 0 5 0
91 S -2 1 5 0
91 S 1 2 5 0
91 S -5 0 -2 1
91 S -8 -1 -2 1
91 T 1 2 1 0 0
91 T 18 16 18 1 0
91 T 18 20 21 0 0
91 T 25 21 4 0 0
91 T 6 3 8 0 0
91 T 3 22 27 0 0
91 T 30 26 13 0 0
91 U 0 5 1 0 0
91 U 30 1 7 0 0
91 U 2 7 3 0 0
91 U 24 3 5 0 0
91 U 8 8 4 -1 0
91 U 16 6 2 0 0
91 U 9 1 2 1 0
91 U 10 6 5 0 0
91 U 11 7 4 1 0
91 Q 2 14 2 14 0 -1 0 1 -1 1
91 Q 7 15 7 15 0 0 0 0 1 0
