95 A 4 0 -1 2 1 -2
95 A -1 1 -5 0 5 0
95 A -1 1 -7 0 7 0
95 A -1 1 -11 0 11 0
95 A 0 1 -5 0 5 0
95 A 0 1 -7 0 7 0
95 A 0 1 -11 0 11 0
95 A -3 1 -8 -1 8 1
95 A 2 1 9 -1 -9 1
95 A 6 0 1 -2 -1 2
95 A -4 1 -9 -2 9 2
95 A 3 1 11 -2 -11 2
95 A 8 0 1 -2 -1 2
95 A 8 0 -1 -2 1 2
95 A 8 0 3 -2 -3 2
95 A -1 2 -9 1 9 -1
95 A 5 0 -1 -1 2 -1
95 A 5 0 0 -2 2 -2
95 A 5 0 -1 -2 -3 2
95 A -2 1 -7 0 -9 -1
95 A 1 1 -7 0 -10 1
95 A -3 1 -4 -1 10 1
95 A 2 1 5 -1 -11 1
95 A -4 1 -7 -1 -9 -1
95 A 3 1 8 -1 10 -1
95 A 7 0 1 -2 2 3
95 A 7 0 -1 -2 3 -2
95 A -6 1 -7 -1 7 3
95 A 5 1 8 -1 -10 3
95 A -8 1 -3 -2 -5 -2
95 A 7 1 5 -2 7 -2
95 S 0 1 4 0
95 S -1 1 4 0
95 S 2 1 5 0
95 S -1 2 5 0
95 T 36 5 11 0 0
95 T 2 46 51 -1 0
95 T 53 40 47 0 0
95 T 49 45 1 0 0
95 T 45 42 46 0 0
95 T 65 40 68 0 0
95 T 76 7 13 0 0
95 T 14 71 51 0 0
95 T 53 49 78 1 0
95 T 49 73 7 -1 0
95 T 53 9 55 0 0
95 T 62 16 47 0 0
95 T 47 79 23 0 0
95 T 3 81 62 -1 1
95 T 26 85 54 0 0
95 T 56 83 3 0 0
95 T 80 35 85 0 0
95 T 30 79 48 0 0
95 T 32 51 83 0 0
95 T 89 72 84 0 0
95 T 82 73 91 -1 0
95 T 87 38 94 0 0
95 U 26 1 1 0 0
95 U 10 1 1 0 -1
95 U 3 1 1 0 0
95 U 16 2 2 0 0
95 U 23 2 2 -1 1
95 U 3 2 2 -1 1
95 U 65 3 3 0 0
95 U 2 4 3 0 0
95 U 7 3 4 0 0
95 U 21 4 3 0 0
95 U 20 3 4 0 0
95 U 1 5 6 1 0
95 U 68 5 5 0 0
95 U 14 6 5 0 0
95 U 18 6 5 0 0
95 U 22 5 6 0 0
95 U 30 7 8 0 0
95 U 94 7 7 0 0
95 U 8 8 7 0 0
95 U 6 8 7 0 0
95 U 28 7 8 0 0
95 U 89 9 9 0 0
95 U 27 10 9 0 0
95 U 11 9 10 0 0
95 U 31 10 9 0 0
95 U 13 9 10 0 0
95 U 55 11 14 -1 0
95 U 36 11 11 0 0
95 U 62 14 11 0 0
95 U 34 12 11 0 0
95 U 41 14 14 0 0
95 U 19 14 13 0 0
95 U 17 13 14 0 0
95 Q 0 38 0 38 0 0 0 0 0 0
95 Q 12 0 5 0 0 0 0 0 0 0
95 Q 0 33 0 34 0 0 0 0 1 0
