Table of dimensions of level N homology over Q(sqrt(-67))

Field	Weight	Level	Norm	SL2		GL2
				all cuspidal	all cuspidal
67	2	1.1	 1	2   2		0   0
67	2	4.1	 4	8   7		1   0
67	2	9.1	 9	11   10		1   0
67	2	16.1	 16	18   14		4   0
67	2	17.1	 17	8   7		4   3
67	2	17.2	 17	8   7		4   3
67	2	19.1	 19	5   4		1   0
67	2	19.2	 19	5   4		1   0
67	2	23.1	 23	5   4		1   0
67	2	23.2	 23	5   4		1   0
67	2	25.1	 25	16   15		1   0
67	2	29.1	 29	5   4		1   0
67	2	29.2	 29	5   4		1   0
67	2	36.1	 36	34   31		3   0
67	2	37.1	 37	5   4		1   0
67	2	37.2	 37	5   4		1   0
67	2	47.1	 47	5   4		1   0
67	2	47.2	 47	5   4		1   0
67	2	49.1	 49	22   21		1   0
67	2	59.1	 59	5   4		1   0
67	2	59.2	 59	5   4		1   0
67	2	64.1	 64	36   29		7   0
67	2	67.1	 67	10   9		6   5
67	2	68.1	 68	23   20		9   6
67	2	68.2	 68	23   20		9   6
67	2	71.1	 71	5   4		1   0
67	2	71.2	 71	5   4		1   0
67	2	73.1	 73	5   4		1   0
67	2	73.2	 73	5   4		1   0
67	2	76.1	 76	17   14		3   0
67	2	76.2	 76	17   14		3   0
67	2	81.1	 81	59   50		25   20
67	2	83.1	 83	5   4		1   0
67	2	83.2	 83	5   4		1   0
67	2	89.1	 89	6   5		1   0
67	2	89.2	 89	6   5		1   0
67	2	92.1	 92	17   14		3   0
67	2	92.2	 92	17   14		3   0
67	2	100.1	 100	50   47		3   0
