Table of dimensions of level N homology over Q(sqrt(-87))

   (The GL2 dimensions include all unramified quadratic character subspaces, while
   the NGL2 dimensions are of just the trivial character subspace.)

Field	Weight	Level	Norm	SL2		GL2		NGL2
				all cuspidal	all cuspidal	all cuspidal
87	2	1.1	 1	7   2		6   1		2   0
87	2	2.1	 2	15   4		13   2		5   0
87	2	2.2	 2	15   4		13   2		5   0
87	2	3.1	 3	17   6		15   4		5   0
87	2	4.1	 4	23   6		20   3		8   0
87	2	4.2	 4	35   12		28   5		11   0
87	2	4.3	 4	23   6		20   3		8   0
87	2	6.1	 6	35   12		31   8		11   0
87	2	6.2	 6	35   12		31   8		11   0
87	2	7.1	 7	15   4		13   2		5   0
87	2	7.2	 7	15   4		13   2		5   0
87	2	8.1	 8	31   8		27   4		11   0
87	2	8.2	 8	56   21		43   8		17   0
87	2	8.3	 8	56   21		43   8		17   0
87	2	8.4	 8	31   8		27   4		11   0
87	2	9.1	 9	41   18		27   10		11   3
87	2	11.1	 11	15   4		13   2		5   0
87	2	11.2	 11	15   4		13   2		5   0
87	2	12.1	 12	53   18		47   12		17   0
87	2	12.2	 12	82   35		68   21		23   0
87	2	12.3	 12	53   18		47   12		17   0
87	2	13.1	 13	15   4		13   2		5   0
87	2	13.2	 13	15   4		13   2		5   0
87	2	14.1	 14	32   9		28   5		12   1
87	2	14.2	 14	31   8		27   4		11   0
87	2	14.3	 14	31   8		27   4		11   0
87	2	14.4	 14	32   9		28   5		12   1
87	2	16.1	 16	47   12		35   6		14   0
87	2	16.2	 16	77   30		58   11		23   0
87	2	16.3	 16	96   43		67   14		26   0
87	2	16.4	 16	77   30		58   11		23   0
87	2	16.5	 16	47   12		35   6		14   0
87	2	17.1	 17	15   4		13   2		5   0
87	2	17.2	 17	15   4		13   2		5   0
87	2	18.1	 18	83   36		55   20		23   6
87	2	18.2	 18	83   36		55   20		23   6
