# Table of dimensions of weight 2 Bianchi cuspidal spaces for GL2 over Q(sqrt(-11))
#   showing full (respectively old, new) dimensions of the cuspidal space and its splitting
#   into subspaces with no self-twist and self-twist by each unramified quadratic character.

# Field		Level	hom-cusp-dim	BMF-cusp-dim (triv char)[ 1 ]
			all	triv	all		old		new
2.0.11.1	1.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	3.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	3.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	4.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	5.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	5.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	9.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	9.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	9.3	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	11.1	1	1	1 [ 1 ]	0 [ 0 ]	1 [ 1 ]
2.0.11.1	12.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	12.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	15.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	15.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	15.3	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	15.4	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	16.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	20.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	20.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	23.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	23.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	25.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	25.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	25.3	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	27.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	27.2	1	1	1 [ 1 ]	0 [ 0 ]	1 [ 1 ]
2.0.11.1	27.3	1	1	1 [ 1 ]	0 [ 0 ]	1 [ 1 ]
2.0.11.1	27.4	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	31.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	31.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	33.1	2	2	2 [ 2 ]	2 [ 2 ]	0 [ 0 ]
2.0.11.1	33.2	2	2	2 [ 2 ]	2 [ 2 ]	0 [ 0 ]
2.0.11.1	36.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	36.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	36.3	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	37.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	37.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	44.1	2	2	2 [ 2 ]	2 [ 2 ]	0 [ 0 ]
2.0.11.1	45.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	45.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	45.3	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	45.4	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	45.5	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	45.6	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	47.1	1	1	1 [ 1 ]	0 [ 0 ]	1 [ 1 ]
2.0.11.1	47.2	1	1	1 [ 1 ]	0 [ 0 ]	1 [ 1 ]
2.0.11.1	48.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	48.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	49.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	53.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	53.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	55.1	2	2	2 [ 2 ]	2 [ 2 ]	0 [ 0 ]
2.0.11.1	55.2	2	2	2 [ 2 ]	2 [ 2 ]	0 [ 0 ]
2.0.11.1	59.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	59.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	60.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	60.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	60.3	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	60.4	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	64.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	67.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	67.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	69.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	69.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	69.3	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	69.4	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	71.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	71.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	75.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	75.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	75.3	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	75.4	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	75.5	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	75.6	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	80.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	80.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	81.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	81.2	2	2	2 [ 2 ]	2 [ 2 ]	0 [ 0 ]
2.0.11.1	81.3	4	4	4 [ 4 ]	4 [ 4 ]	0 [ 0 ]
2.0.11.1	81.4	2	2	2 [ 2 ]	2 [ 2 ]	0 [ 0 ]
2.0.11.1	81.5	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	89.1	1	1	1 [ 1 ]	0 [ 0 ]	1 [ 1 ]
2.0.11.1	89.2	1	1	1 [ 1 ]	0 [ 0 ]	1 [ 1 ]
2.0.11.1	92.1	1	1	1 [ 1 ]	0 [ 0 ]	1 [ 1 ]
2.0.11.1	92.2	1	1	1 [ 1 ]	0 [ 0 ]	1 [ 1 ]
2.0.11.1	93.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	93.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	93.3	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	93.4	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	97.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	97.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	99.1	4	4	4 [ 4 ]	3 [ 3 ]	1 [ 1 ]
2.0.11.1	99.2	5	5	5 [ 5 ]	4 [ 4 ]	1 [ 1 ]
2.0.11.1	99.3	4	4	4 [ 4 ]	3 [ 3 ]	1 [ 1 ]
2.0.11.1	100.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	100.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.11.1	100.3	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
