# Table of dimensions of weight 2 Bianchi cuspidal spaces for GL2 over Q(sqrt(-15))
#   showing full (respectively old, new) dimensions of the cuspidal space and its splitting
#   into subspaces with no self-twist and self-twist by each unramified quadratic character.

# Field		Level	hom-cusp-dim	BMF-cusp-dim (triv char)[ 1 -3 ]
			all	triv	all		old		new
2.0.15.1	1.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.15.1	2.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.15.1	2.2	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.15.1	3.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.15.1	4.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.15.1	4.2	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.15.1	4.3	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.15.1	5.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.15.1	6.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.15.1	6.2	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.15.1	8.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.15.1	8.2	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.15.1	8.3	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.15.1	8.4	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.15.1	9.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.15.1	10.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.15.1	10.2	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.15.1	12.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.15.1	12.2	1	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.15.1	12.3	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.15.1	15.1	1	1	2 [ 2 0 ]	0 [ 0 0 ]	2 [ 2 0 ]
2.0.15.1	16.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.15.1	16.2	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.15.1	16.3	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.15.1	16.4	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.15.1	16.5	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.15.1	17.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.15.1	17.2	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.15.1	18.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.15.1	18.2	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.15.1	19.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.15.1	19.2	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.15.1	20.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.15.1	20.2	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.15.1	20.3	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.15.1	23.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.15.1	23.2	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.15.1	24.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.15.1	24.2	2	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
