# Table of dimensions of weight 2 Bianchi cuspidal spaces for GL2 over Q(sqrt(-42))
#   showing full (respectively old, new) dimensions of the cuspidal space and its splitting
#   into subspaces with no self-twist and self-twist by each unramified quadratic character.

# Field		Level	hom-cusp-dim	BMF-cusp-dim (triv char)[ 1 -8 -3 -7 ]
			all	triv	all		old		new
2.0.168.1	1.1	3	0	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]
2.0.168.1	2.1	6	0	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]
2.0.168.1	3.1	10	0	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]
2.0.168.1	4.1	12	0	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]
2.0.168.1	6.1	20	0	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]
2.0.168.1	7.1	11	0	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]
2.0.168.1	8.1	19	0	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]
2.0.168.1	9.1	30	2	8 [ 8 0 0 0 ]	0 [ 0 0 0 0 ]	8 [ 8 0 0 0 ]
2.0.168.1	12.1	37	0	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]
2.0.168.1	13.1	4	0	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]
2.0.168.1	13.2	4	0	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]
2.0.168.1	14.1	25	1	4 [ 4 0 0 0 ]	0 [ 0 0 0 0 ]	4 [ 4 0 0 0 ]
2.0.168.1	16.1	37	0	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]
2.0.168.1	17.1	5	0	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]
2.0.168.1	17.2	5	0	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]
2.0.168.1	18.1	60	4	16 [ 16 0 0 0 ]	16 [ 16 0 0 0 ]	0 [ 0 0 0 0 ]
