K = Q(sqrt(-2)) = Q(t), disc(K) = -8, min poly(t) = x^2+2.
2 [2,0,1] 2 2 1
3 [3,1,1] 3 1 1
3 [3,2,1] 3 1 1
11 [11,3,1] 11 1 1
11 [11,8,1] 11 1 1
17 [17,7,1] 17 1 1
17 [17,10,1] 17 1 1
19 [19,6,1] 19 1 1
19 [19,13,1] 19 1 1
25 [25,0,5] 5 1 2
41 [41,11,1] 41 1 1
41 [41,30,1] 41 1 1
43 [43,16,1] 43 1 1
43 [43,27,1] 43 1 1
49 [49,0,7] 7 1 2
59 [59,23,1] 59 1 1
59 [59,36,1] 59 1 1
67 [67,20,1] 67 1 1
67 [67,47,1] 67 1 1
73 [73,12,1] 73 1 1
73 [73,61,1] 73 1 1
83 [83,9,1] 83 1 1
83 [83,74,1] 83 1 1
89 [89,40,1] 89 1 1
89 [89,49,1] 89 1 1
97 [97,17,1] 97 1 1
97 [97,80,1] 97 1 1
