Q(sqrt(-23))	discriminant = 23	min poly(a) = a^2-a+6.
Class number 3
Ideal class group representatives: [ [1,a] [2,a] [2,1+a] ]
23 prime ideals initialised, max norm = 100
P2a = 2.1 = [2,a] = (2,a) (not principal)
P2b = 2.2 = [2,1+a] = (2,-1+a) (not principal)
P3a = 3.1 = [3,a] = (a,-3) (not principal)
P3b = 3.2 = [3,2+a] = (-1+a,-3) (not principal)
P13a = 13.1 = [13,4+a] = (4+a,-5+2a) (not principal)
P13b = 13.2 = [13,8+a] = (-5+a,-3-2a) (not principal)
P23 = 23.1 = [23,11+a] = (-1+2a,-12+a) = (-1+2a) (principal)
P5 = 25.1 = 5[1,a] = (5,5a) = (5) (principal)
P29a = 29.1 = [29,10+a] = (1+3a,-9+2a) (not principal)
P29b = 29.2 = [29,18+a] = (-4+3a,-7-2a) (not principal)
P31a = 31.1 = [31,7+a] = (7+a,-3+4a) (not principal)
P31b = 31.2 = [31,23+a] = (-8+a,1-4a) (not principal)
P41a = 41.1 = [41,15+a] = (4+3a,-11+2a) (not principal)
P41b = 41.2 = [41,25+a] = (-7+3a,-9-2a) (not principal)
P47a = 47.1 = [47,13+a] = (-8+3a,-5-4a) (not principal)
P47b = 47.2 = [47,33+a] = (5+3a,-9+4a) (not principal)
P7 = 49.1 = 7[1,a] = (7,7a) = (7) (principal)
P59a = 59.1 = [59,26+a] = (-7+2a,-12-5a) = (-7+2a) (principal)
P59b = 59.2 = [59,32+a] = (5+2a,-12+7a) = (5+2a) (principal)
P71a = 71.1 = [71,20+a] = (-11+3a,-9-4a) (not principal)
P71b = 71.2 = [71,50+a] = (8+3a,-13+4a) (not principal)
P73a = 73.1 = [73,29+a] = (-1+5a,-15+2a) (not principal)
P73b = 73.2 = [73,43+a] = (-4+5a,-13-2a) (not principal)
