K = Q(sqrt(-3)) = Q(w), disc(K) = -3, min poly(w) = x^2-x+1.
3 [3,1,1] 3 2 1
4 [4,0,2] 2 1 2
7 [7,2,1] 7 1 1
7 [7,4,1] 7 1 1
13 [13,3,1] 13 1 1
13 [13,9,1] 13 1 1
19 [19,7,1] 19 1 1
19 [19,11,1] 19 1 1
25 [25,0,5] 5 1 2
31 [31,5,1] 31 1 1
31 [31,25,1] 31 1 1
37 [37,10,1] 37 1 1
37 [37,26,1] 37 1 1
43 [43,6,1] 43 1 1
43 [43,36,1] 43 1 1
61 [61,13,1] 61 1 1
61 [61,47,1] 61 1 1
67 [67,29,1] 67 1 1
67 [67,37,1] 67 1 1
73 [73,8,1] 73 1 1
73 [73,64,1] 73 1 1
79 [79,23,1] 79 1 1
79 [79,55,1] 79 1 1
97 [97,35,1] 97 1 1
97 [97,61,1] 97 1 1
