Q(sqrt(-83))	discriminant = -83	min poly(a) = a^2-a+21.
Class number 3
Ideal class group representatives: [ [1,a] [3,a] [3,2+a] ]
2-rank of class group = 0
165 prime ideals initialised, max norm = 1000
P3a = 3.1 = [3,a] = (3,a) (not principal)
P3b = 3.2 = [3,2+a] = (3,-1+a) (not principal)
P2 = 4.1 = 2[1,a] = (2,2a) = (2) (principal)
P7a = 7.1 = [7,a] = (a,-7) (not principal)
P7b = 7.2 = [7,6+a] = (-1+a,-7) (not principal)
P11a = 11.1 = [11,3+a] = (3+a,-8+a) (not principal)
P11b = 11.2 = [11,7+a] = (-4+a,-7-a) (not principal)
P17a = 17.1 = [17,5+a] = (5+a,-7+2a) (not principal)
P17b = 17.2 = [17,11+a] = (-6+a,-5-2a) (not principal)
P23a = 23.1 = [23,1+a] = (1+a,-21+2a) = (1+a) (principal)
P23b = 23.2 = [23,21+a] = (-2+a,-21-a) = (-2+a) (principal)
P5 = 25.1 = 5[1,a] = (5,5a) = (5) (principal)
P29a = 29.1 = [29,13+a] = (-3+2a,-13-a) (not principal)
P29b = 29.2 = [29,15+a] = (1+2a,-14+a) (not principal)
P31a = 31.1 = [31,8+a] = (8+a,-7+3a) (not principal)
P31b = 31.2 = [31,22+a] = (-9+a,-4-3a) (not principal)
P37a = 37.1 = [37,9+a] = (9+a,-10+3a) (not principal)
P37b = 37.2 = [37,27+a] = (-10+a,-7-3a) (not principal)
P41a = 41.1 = [41,4+a] = (4+a,-21+5a) = (4+a) (principal)
P41b = 41.2 = [41,36+a] = (-5+a,-21-4a) = (-5+a) (principal)
P59a = 59.1 = [59,12+a] = (12+a,-11+4a) (not principal)
P59b = 59.2 = [59,46+a] = (-13+a,-7-4a) (not principal)
P61a = 61.1 = [61,25+a] = (-11+2a,-14-3a) (not principal)
P61b = 61.2 = [61,35+a] = (9+2a,-17+3a) (not principal)
P83 = 83.1 = [83,41+a] = (-1+2a,-42+a) = (-1+2a) (principal)
P109a = 109.1 = [109,17+a] = (17+a,-7+6a) (not principal)
P109b = 109.2 = [109,91+a] = (-18+a,-1-6a) (not principal)
P113a = 113.1 = [113,48+a] = (-17+2a,-14-5a) (not principal)
P113b = 113.2 = [113,64+a] = (15+2a,-19+5a) (not principal)
P127a = 127.1 = [127,33+a] = (5+4a,-28+3a) (not principal)
P127b = 127.2 = [127,93+a] = (-9+4a,-25-3a) (not principal)
P131a = 131.1 = [131,10+a] = (10+a,-21+11a) = (10+a) (principal)
P131b = 131.2 = [131,120+a] = (-11+a,-21-10a) = (-11+a) (principal)
P151a = 151.1 = [151,40+a] = (9+4a,-31+3a) (not principal)
P151b = 151.2 = [151,110+a] = (-13+4a,-28-3a) (not principal)
P167a = 167.1 = [167,38+a] = (-15+4a,-23-5a) (not principal)
P167b = 167.2 = [167,128+a] = (11+4a,-28+5a) (not principal)
P13 = 169.1 = 13[1,a] = (13,13a) = (13) (principal)
P173a = 173.1 = [173,34+a] = (-3+5a,-34-a) (not principal)
P173b = 173.2 = [173,138+a] = (-2+5a,-35+a) (not principal)
P191a = 191.1 = [191,23+a] = (23+a,-7+8a) (not principal)
P191b = 191.2 = [191,167+a] = (-24+a,1-8a) (not principal)
P193a = 193.1 = [193,63+a] = (-4+3a,-63-a) = (-4+3a) (principal)
P193b = 193.2 = [193,129+a] = (1+3a,-63+4a) = (1+3a) (principal)
P197a = 197.1 = [197,80+a] = (6+5a,-37+2a) (not principal)
P197b = 197.2 = [197,116+a] = (-11+5a,-35-2a) (not principal)
P199a = 199.1 = [199,67+a] = (2+3a,-63+5a) = (2+3a) (principal)
P199b = 199.2 = [199,131+a] = (-5+3a,-63-2a) = (-5+3a) (principal)
P227a = 227.1 = [227,107+a] = (-13+2a,-42-11a) = (-13+2a) (principal)
P227b = 227.2 = [227,119+a] = (11+2a,-42+13a) = (11+2a) (principal)
P229a = 229.1 = [229,78+a] = (5+3a,-63+8a) = (5+3a) (principal)
P229b = 229.2 = [229,150+a] = (-8+3a,-63-5a) = (-8+3a) (principal)
P241a = 241.1 = [241,26+a] = (26+a,-7+9a) (not principal)
P241b = 241.2 = [241,214+a] = (-27+a,2-9a) (not principal)
P277a = 277.1 = [277,95+a] = (8+3a,-63+11a) = (8+3a) (principal)
P277b = 277.2 = [277,181+a] = (-11+3a,-63-8a) = (-11+3a) (principal)
P293a = 293.1 = [293,16+a] = (16+a,-21+17a) = (16+a) (principal)
P293b = 293.2 = [293,276+a] = (-17+a,-21-16a) = (-17+a) (principal)
P313a = 313.1 = [313,58+a] = (-23+5a,-35-6a) (not principal)
P313b = 313.2 = [313,254+a] = (18+5a,-41+6a) (not principal)
P317a = 317.1 = [317,30+a] = (30+a,-17+10a) (not principal)
P317b = 317.2 = [317,286+a] = (-31+a,-7-10a) (not principal)
P349a = 349.1 = [349,100+a] = (2+7a,-49+3a) (not principal)
P349b = 349.2 = [349,248+a] = (-9+7a,-46-3a) (not principal)
P353a = 353.1 = [353,49+a] = (-10+7a,-49-a) (not principal)
P353b = 353.2 = [353,303+a] = (3+7a,-50+a) (not principal)
P359a = 359.1 = [359,32+a] = (32+a,-7+11a) (not principal)
P359b = 359.2 = [359,326+a] = (-33+a,4-11a) (not principal)
P19 = 361.1 = 19[1,a] = (19,19a) = (19) (principal)
P373a = 373.1 = [373,79+a] = (22+5a,-35+9a) (not principal)
P373b = 373.2 = [373,293+a] = (-27+5a,-26-9a) (not principal)
P383a = 383.1 = [383,162+a] = (-15+7a,-44-5a) (not principal)
P383b = 383.2 = [383,220+a] = (8+7a,-49+5a) (not principal)
P397a = 397.1 = [397,127+a] = (-16+3a,-63-13a) = (-16+3a) (principal)
P397b = 397.2 = [397,269+a] = (13+3a,-63+16a) = (13+3a) (principal)
P401a = 401.1 = [401,19+a] = (19+a,-21+20a) = (19+a) (principal)
P401b = 401.2 = [401,381+a] = (-20+a,-21-19a) = (-20+a) (principal)
P409a = 409.1 = [409,60+a] = (11+7a,-49+6a) (not principal)
P409b = 409.2 = [409,348+a] = (-18+7a,-43-6a) (not principal)
P419a = 419.1 = [419,117+a] = (-19+7a,-49-4a) (not principal)
P419b = 419.2 = [419,301+a] = (12+7a,-53+4a) (not principal)
P431a = 431.1 = [431,115+a] = (29+4a,-28+11a) (not principal)
P431b = 431.2 = [431,315+a] = (-33+4a,-17-11a) (not principal)
P443a = 443.1 = [443,55+a] = (-3+8a,-55-a) (not principal)
P443b = 443.2 = [443,387+a] = (-5+8a,-56+a) (not principal)
