>>>> Level 1.1 = (1), norm = 1 <<<<	Dimension = 1
>>>> Level 2.1 = (2,a), norm = 2 <<<<	Dimension = 2
>>>> Level 3.1 = (3,1+a), norm = 3 <<<<	Dimension = 4
>>>> Level 4.1 = (4,-2+a), norm = 4 <<<<	Dimension = 3
>>>> Level 4.2 = (2), norm = 4 <<<<	Dimension = 5
>>>> Level 6.1 = (-2+a,-6), norm = 6 <<<<	Dimension = 8
>>>> Level 7.1 = (2+a,-5+a), norm = 7 <<<<	Dimension = 2
>>>> Level 8.1 = (-2+a,-8), norm = 8 <<<<	Dimension = 4
>>>> Level 8.2 = (4,2a), norm = 8 <<<<	Dimension = 8
>>>> Level 9.1 = (3), norm = 9 <<<<	Dimension = 10
>>>> Level 11.1 = (a,-11), norm = 11 <<<<	Dimension = 2
>>>> Level 12.1 = (-2+a,-10-a), norm = 12 <<<<	Dimension = 12
>>>> Level 12.2 = (6,2+2a), norm = 12 <<<<	Dimension = 21
>>>> Level 13.1 = (5+a,-8+a), norm = 13 <<<<	Dimension = 2
>>>> Level 14.1 = (2+a,-12+a), norm = 14 <<<<	Dimension = 5
>>>> Level 14.2 = (4+a,-6+2a), norm = 14 <<<<	Dimension = 4
>>>> Level 16.1 = (6+a,-4+2a), norm = 16 <<<<	Dimension = 6
>>>> Level 16.2 = (8,-4+2a), norm = 16 <<<<	Dimension = 11
>>>> Level 16.3 = (4), norm = 16 <<<<	Dimension = 14
>>>> Level 17.1 = (3+a,-11+2a), norm = 17 <<<<	Dimension = 2
>>>> Level 18.1 = (6,3a), norm = 18 <<<<	Dimension = 20
>>>> Level 21.1 = (-5+a,-11-2a), norm = 21 <<<<	Dimension = 8
>>>> Level 22.1 = (a), norm = 22 <<<<	Dimension = 4
>>>> Level 22.2 = (-2+2a,-10-a), norm = 22 <<<<	Dimension = 4
>>>> Level 24.1 = (-2+a), norm = 24 <<<<	Dimension = 16
>>>> Level 24.2 = (-4+2a,-12), norm = 24 <<<<	Dimension = 34
>>>> Level 25.1 = (5), norm = 25 <<<<	Dimension = 7
>>>> Level 26.1 = (-8+a,-10-2a), norm = 26 <<<<	Dimension = 4
>>>> Level 26.2 = (-6+a,-8-3a), norm = 26 <<<<	Dimension = 4
>>>> Level 27.1 = (9,3+3a), norm = 27 <<<<	Dimension = 16
>>>> Level 28.1 = (2+a), norm = 28 <<<<	Dimension = 8
>>>> Level 28.2 = (-10+a,-8-2a), norm = 28 <<<<	Dimension = 7
>>>> Level 28.3 = (4+2a,-10+2a), norm = 28 <<<<	Dimension = 13
>>>> Level 29.1 = (-1+2a,-15+a), norm = 29 <<<<	Dimension = 4
>>>> Level 32.1 = (6+a,-14+3a), norm = 32 <<<<	Dimension = 9
>>>> Level 32.2 = (-4+2a,-16), norm = 32 <<<<	Dimension = 20
>>>> Level 32.3 = (8,4a), norm = 32 <<<<	Dimension = 22
>>>> Level 33.1 = (-11+a,-3a), norm = 33 <<<<	Dimension = 8
>>>> Level 34.1 = (6+2a,-14+a), norm = 34 <<<<	Dimension = 4
>>>> Level 34.2 = (-4+a), norm = 34 <<<<	Dimension = 5
>>>> Level 36.1 = (12,-6+3a), norm = 36 <<<<	Dimension = 30
>>>> Level 36.2 = (6), norm = 36 <<<<	Dimension = 55
>>>> Level 39.1 = (-8+a,-7-4a), norm = 39 <<<<	Dimension = 8
>>>> Level 41.1 = (-7+2a,-17-a), norm = 41 <<<<	Dimension = 2
>>>> Level 42.1 = (-10+2a,-6-3a), norm = 42 <<<<	Dimension = 18
>>>> Level 42.2 = (4+a), norm = 42 <<<<	Dimension = 17
>>>> Level 44.1 = (2a,-22+a), norm = 44 <<<<	Dimension = 6
>>>> Level 44.2 = (10+a,-4+4a), norm = 44 <<<<	Dimension = 6
>>>> Level 44.3 = (2a,-22), norm = 44 <<<<	Dimension = 12
>>>> Level 47.1 = (8+a,-15+4a), norm = 47 <<<<	Dimension = 2
>>>> Level 48.1 = (-4+2a,-22-a), norm = 48 <<<<	Dimension = 22
>>>> Level 48.2 = (-4+2a,-20-2a), norm = 48 <<<<	Dimension = 47
>>>> Level 48.3 = (12,4+4a), norm = 48 <<<<	Dimension = 61
>>>> Level 49.1 = (-1+3a,-16-a), norm = 49 <<<<	Dimension = 4
>>>> Level 49.2 = (7), norm = 49 <<<<	Dimension = 11
>>>> Level 50.1 = (10,5a), norm = 50 <<<<	Dimension = 14
