Enter field: Include conjugates? Enter first and last norm for Quad loop: Quad = 1	with norm 1
Quad = 2	with norm 4
Quad = 1-a	with norm 5
Quad = a	with norm 5
Quad = 2-a	with norm 7
Quad = 1+a	with norm 7
Quad = 3	with norm 9
Quad = 3-a	with norm 11
Quad = 2+a	with norm 11
Quad = 4	with norm 16
Quad = 4-a	with norm 17
Quad = 3+a	with norm 17
Quad = -1+2a	with norm 19
Quad = 2-2a	with norm 20
Quad = 2a	with norm 20
Quad = 3-2a	with norm 23
Quad = 1+2a	with norm 23
Quad = 5-a	with norm 25
Quad = 5	with norm 25
Quad = 4+a	with norm 25
Quad = 4-2a	with norm 28
Quad = 2+2a	with norm 28
Quad = 5-2a	with norm 35
Quad = 6-a	with norm 35
Quad = 5+a	with norm 35
Quad = 3+2a	with norm 35
Quad = 6	with norm 36
Quad = 2-3a	with norm 43
Quad = -1+3a	with norm 43
Quad = 6-2a	with norm 44
Quad = 4+2a	with norm 44
Quad = 3-3a	with norm 45
Quad = 3a	with norm 45
Quad = 7-a	with norm 47
Quad = 6+a	with norm 47
Quad = 4-3a	with norm 49
Quad = 7	with norm 49
Quad = 1+3a	with norm 49
Quad = 5-3a	with norm 55
Quad = 7-2a	with norm 55
Quad = 5+2a	with norm 55
Quad = 2+3a	with norm 55
Quad = 8-a	with norm 61
Quad = 7+a	with norm 61
Quad = 6-3a	with norm 63
Quad = 3+3a	with norm 63
Quad = 8	with norm 64
Quad = 8-2a	with norm 68
Quad = 6+2a	with norm 68
Quad = 7-3a	with norm 73
Quad = 4+3a	with norm 73
Quad = -2+4a	with norm 76
Quad = 3-4a	with norm 77
Quad = 9-a	with norm 77
Quad = 8+a	with norm 77
Quad = -1+4a	with norm 77
Quad = 4-4a	with norm 80
Quad = 4a	with norm 80
Quad = 9	with norm 81
Quad = 9-2a	with norm 83
Quad = 7+2a	with norm 83
Quad = 5-4a	with norm 85
Quad = 8-3a	with norm 85
Quad = 5+3a	with norm 85
Quad = 1+4a	with norm 85
Quad = 6-4a	with norm 92
Quad = 2+4a	with norm 92
Quad = 10-a	with norm 95
Quad = 9+a	with norm 95
Quad = 9-3a	with norm 99
Quad = 6+3a	with norm 99
Quad = 10-2a	with norm 100
Quad = 10	with norm 100
Quad = 8+2a	with norm 100
